Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,5,3.2,7.3
NHS Lincolnshire Integrated Care Board,E54000013,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,21,Age-standardised,4.8,2.9,7.3
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,33,Age-standardised,6,4.1,8.4
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,46,Age-standardised,7.5,5.5,10
NHS North Central London Integrated Care Board,E54000028,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,22,Age-standardised,5.5,3.4,8.4
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,111,Age-standardised,7.4,6.1,9
NHS North East London Integrated Care Board,E54000029,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,27,Age-standardised,5,3.2,7.3
NHS North West London Integrated Care Board,E54000027,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,38,Age-standardised,6,4.2,8.3
NHS Northamptonshire Integrated Care Board,E54000059,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,14,Age-standardised,4.1,2.2,6.9
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,25,Age-standardised,5,3.3,7.5
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,20,Age-standardised,7.6,4.6,11.7
NHS Somerset Integrated Care Board,E54000038,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,33,Age-standardised,10.3,7,14.5
NHS South East London Integrated Care Board,E54000030,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,37,Age-standardised,7.5,5.2,10.3
NHS South West London Integrated Care Board,E54000031,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,31,Age-standardised,6.7,4.5,9.5
NHS South Yorkshire Integrated Care Board,E54000061,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,27,Age-standardised,4.6,3,6.7
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,29,Age-standardised,5,3.4,7.2
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,28,Age-standardised,5.3,3.5,7.6
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,36,Age-standardised,7.6,5.3,10.5
NHS Sussex Integrated Care Board,E54000064,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,60,Age-standardised,6.8,5.2,8.7
NHS West Yorkshire Integrated Care Board,E54000054,Males,2021,Renal pelvis and ureter,All Renal pelvis and ureter,83,Age-standardised,8.7,6.9,10.8
