icb23cd,Count,Gender,Year,Geography_name,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,ICB23CD
E54000043,251,Females,2022,NHS Gloucestershire Integrated Care Board,Bowel,All Bowel,Age-standardised,63.9,56.2,72.5,E54000043
E54000044,571,Females,2022,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Bowel,All Bowel,Age-standardised,61.5,56.5,66.8,E54000044
E54000048,567,Females,2022,NHS Lancashire and South Cumbria Integrated Care Board,Bowel,All Bowel,Age-standardised,57.4,52.7,62.3,E54000048
E54000050,1068,Females,2022,NHS North East and North Cumbria Integrated Care Board,Bowel,All Bowel,Age-standardised,62.1,58.4,65.9,E54000050
E54000051,596,Females,2022,NHS Humber and North Yorkshire Integrated Care Board,Bowel,All Bowel,Age-standardised,57.2,52.6,62,E54000051
E54000054,625,Females,2022,NHS West Yorkshire Integrated Care Board,Bowel,All Bowel,Age-standardised,53,48.9,57.3,E54000054
E54000055,360,Females,2022,NHS Birmingham and Solihull Integrated Care Board,Bowel,All Bowel,Age-standardised,61,54.8,67.7,E54000055
E54000056,282,Females,2022,NHS Cambridgeshire and Peterborough Integrated Care Board,Bowel,All Bowel,Age-standardised,59.7,52.9,67.1,E54000056
E54000057,728,Females,2022,NHS Greater Manchester Integrated Care Board,Bowel,All Bowel,Age-standardised,55.2,51.3,59.4,E54000057
E54000058,351,Females,2022,NHS Derby and Derbyshire Integrated Care Board,Bowel,All Bowel,Age-standardised,57.5,51.6,63.9,E54000058
E54000059,230,Females,2022,NHS Northamptonshire Integrated Care Board,Bowel,All Bowel,Age-standardised,58.4,51.1,66.5,E54000059
E54000060,352,Females,2022,NHS Nottingham and Nottinghamshire Integrated Care Board,Bowel,All Bowel,Age-standardised,58.1,52.2,64.5,E54000060
E54000061,453,Females,2022,NHS South Yorkshire Integrated Care Board,Bowel,All Bowel,Age-standardised,63.2,57.5,69.4,E54000061
E54000062,357,Females,2022,NHS Black Country Integrated Care Board,Bowel,All Bowel,Age-standardised,59.8,53.7,66.4,E54000062
E54000063,359,Females,2022,NHS Surrey Heartlands Integrated Care Board,Bowel,All Bowel,Age-standardised,60.6,54.4,67.3,E54000063
E54000064,709,Females,2022,NHS Sussex Integrated Care Board,Bowel,All Bowel,Age-standardised,65.1,60.3,70.2,E54000064
