Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2022,Lung,All Lung,Age-standardised,80.4,74.6,86.5,730,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Males,2022,Lung,All Lung,Age-standardised,81.7,75.9,87.9,727,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2022,Lung,All Lung,Age-standardised,92.2,85.9,98.8,809,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2022,Lung,All Lung,Age-standardised,72.8,65.4,80.8,358,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Males,2022,Lung,All Lung,Age-standardised,78.6,70.4,87.4,347,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2022,Lung,All Lung,Age-standardised,70.9,63.9,78.4,388,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2022,Lung,All Lung,Age-standardised,78.6,71.6,86,477,E54000022
NHS North Central London Integrated Care Board,E54000028,Males,2022,Lung,All Lung,Age-standardised,80.1,71.8,89,353,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2022,Lung,All Lung,Age-standardised,103.4,98.3,108.8,1526,E54000050
NHS North East London Integrated Care Board,E54000029,Males,2022,Lung,All Lung,Age-standardised,85,76.8,93.7,425,E54000029
NHS North West London Integrated Care Board,E54000027,Males,2022,Lung,All Lung,Age-standardised,73.2,66.7,80.1,490,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Males,2022,Lung,All Lung,Age-standardised,83.7,74.1,94.1,284,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2022,Lung,All Lung,Age-standardised,96,87.7,104.9,498,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2022,Lung,All Lung,Age-standardised,65.1,55.9,75.3,183,E54000011
NHS Somerset Integrated Care Board,E54000038,Males,2022,Lung,All Lung,Age-standardised,76.1,67,86.1,255,E54000038
NHS South East London Integrated Care Board,E54000030,Males,2022,Lung,All Lung,Age-standardised,96.8,88.4,105.8,511,E54000030
NHS South West London Integrated Care Board,E54000031,Males,2022,Lung,All Lung,Age-standardised,76.1,68.5,84.4,373,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Males,2022,Lung,All Lung,Age-standardised,111.8,103.6,120.5,693,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2022,Lung,All Lung,Age-standardised,92,84.2,100.3,529,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2022,Lung,All Lung,Age-standardised,70.2,63.3,77.6,386,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2022,Lung,All Lung,Age-standardised,65.3,58.3,73,317,E54000063
NHS Sussex Integrated Care Board,E54000064,Males,2022,Lung,All Lung,Age-standardised,71.4,66,77.1,643,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Males,2022,Lung,All Lung,Age-standardised,96.9,90.8,103.3,955,E54000054
