SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C91-C95,Leukaemia,Age-standardised,16.7,10.3,25.6,21
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C91-C95,Leukaemia,Age-standardised,14.2,9.8,20,35
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C91-C95,Leukaemia,Age-standardised,13.8,10.3,18.1,52
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C91-C95,Leukaemia,Age-standardised,11.2,7.4,16.3,28
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C91-C95,Leukaemia,Age-standardised,15.6,12.1,19.9,65
E38000238,NHS Lincolnshire ICB - 71E,C91-C95,Leukaemia,Age-standardised,13.7,11.4,16.5,120
E38000106,NHS Mid and South Essex ICB - 06Q,C91-C95,Leukaemia,Age-standardised,12.6,9.4,16.5,53
E38000185,NHS Mid and South Essex ICB - 07G,C91-C95,Leukaemia,Age-standardised,18.1,11.6,26.9,25
E38000007,NHS Mid and South Essex ICB - 99E,C91-C95,Leukaemia,Age-standardised,19,14,25.1,49
E38000030,NHS Mid and South Essex ICB - 99F,C91-C95,Leukaemia,Age-standardised,8,4.6,12.9,17
E38000168,NHS Mid and South Essex ICB - 99G,C91-C95,Leukaemia,Age-standardised,13.9,9,20.6,25
E38000239,NHS Norfolk and Waveney ICB - 26A,C91-C95,Leukaemia,Age-standardised,13.4,11.4,15.6,165
E38000240,NHS North Central London ICB - 93C,C91-C95,Leukaemia,Age-standardised,16,13.7,18.5,187
E38000130,NHS North East and North Cumbria ICB - 00L,C91-C95,Leukaemia,Age-standardised,21.8,17.4,27,86
E38000163,NHS North East and North Cumbria ICB - 00N,C91-C95,Leukaemia,Age-standardised,18.9,12.7,26.9,30
E38000176,NHS North East and North Cumbria ICB - 00P,C91-C95,Leukaemia,Age-standardised,15.8,11.6,21.2,45
E38000215,NHS North East and North Cumbria ICB - 01H,C91-C95,Leukaemia,Age-standardised,17.3,13.3,22.2,63
E38000212,NHS North East and North Cumbria ICB - 13T,C91-C95,Leukaemia,Age-standardised,15.7,12.3,19.8,73
E38000247,NHS North East and North Cumbria ICB - 16C,C91-C95,Leukaemia,Age-standardised,13.8,11.2,16.9,95
E38000234,NHS North East and North Cumbria ICB - 84H,C91-C95,Leukaemia,Age-standardised,13.1,10.2,16.5,73
E38000127,NHS North East and North Cumbria ICB - 99C,C91-C95,Leukaemia,Age-standardised,21.7,16,28.9,47
E38000255,NHS North East London ICB - A3A8R,C91-C95,Leukaemia,Age-standardised,11.1,9.3,13.1,157
E38000256,NHS North West London ICB - W2U3Z,C91-C95,Leukaemia,Age-standardised,13,11.3,14.8,220
E38000262,NHS Northamptonshire ICB - 78H,C91-C95,Leukaemia,Age-standardised,15.6,12.9,18.8,113
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C91-C95,Leukaemia,Age-standardised,21.4,14,31.2,27
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C91-C95,Leukaemia,Age-standardised,16.7,14.2,19.4,166
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C91-C95,Leukaemia,Age-standardised,13.4,10.5,16.8,75
E38000150,NHS Somerset ICB - 11X,C91-C95,Leukaemia,Age-standardised,14.6,11.9,17.8,101
E38000244,NHS South East London ICB - 72Q,C91-C95,Leukaemia,Age-standardised,11.7,10,13.8,165
E38000245,NHS South West London ICB - 36L,C91-C95,Leukaemia,Age-standardised,11.7,9.8,13.8,144
E38000006,NHS South Yorkshire ICB - 02P,C91-C95,Leukaemia,Age-standardised,13.1,9,18.5,33
E38000044,NHS South Yorkshire ICB - 02X,C91-C95,Leukaemia,Age-standardised,11.5,8.1,15.9,36
E38000141,NHS South Yorkshire ICB - 03L,C91-C95,Leukaemia,Age-standardised,11.7,8,16.5,32
E38000146,NHS South Yorkshire ICB - 03N,C91-C95,Leukaemia,Age-standardised,12.7,9.8,16.1,66
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C91-C95,Leukaemia,Age-standardised,15,9.3,22.9,21
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C91-C95,Leukaemia,Age-standardised,10.4,5.7,17.4,14
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C91-C95,Leukaemia,Age-standardised,15.8,11.1,21.7,38
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C91-C95,Leukaemia,Age-standardised,13,8.9,18.3,33
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C91-C95,Leukaemia,Age-standardised,12.5,7.9,18.8,23
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C91-C95,Leukaemia,Age-standardised,13.3,9.2,18.7,33
E38000086,NHS Suffolk and North East Essex ICB - 06L,C91-C95,Leukaemia,Age-standardised,12.6,9.5,16.2,59
E38000117,NHS Suffolk and North East Essex ICB - 06T,C91-C95,Leukaemia,Age-standardised,18.9,14.7,23.8,71
E38000204,NHS Suffolk and North East Essex ICB - 07K,C91-C95,Leukaemia,Age-standardised,13.3,9.2,18.6,34
E38000264,NHS Surrey Heartlands ICB - 92A,C91-C95,Leukaemia,Age-standardised,13.8,11.6,16.2,145
E38000021,NHS Sussex ICB - 09D,C91-C95,Leukaemia,Age-standardised,12.9,8.5,18.7,28
E38000265,NHS Sussex ICB - 70F,C91-C95,Leukaemia,Age-standardised,14.8,12.4,17.4,144
E38000235,NHS Sussex ICB - 97R,C91-C95,Leukaemia,Age-standardised,10.1,7.8,12.7,71
E38000025,NHS West Yorkshire ICB - 02T,C91-C95,Leukaemia,Age-standardised,14.2,9.6,20.3,30
E38000190,NHS West Yorkshire ICB - 03R,C91-C95,Leukaemia,Age-standardised,13.4,9.9,17.8,47
E38000225,NHS West Yorkshire ICB - 15F,C91-C95,Leukaemia,Age-standardised,15.3,12.5,18.5,105
E38000232,NHS West Yorkshire ICB - 36J,C91-C95,Leukaemia,Age-standardised,12.6,9.7,16,67
E38000254,NHS West Yorkshire ICB - X2C4Y,C91-C95,Leukaemia,Age-standardised,15.3,11.8,19.6,64
Grand Total,,,,,,,,7648
