Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count
NHS North Central London Integrated Care Board,E54000028,Males,2022,Small intestine,All Small intestine,Age-standardised,2.7,1.4,4.7,12
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2022,Small intestine,All Small intestine,Age-standardised,4.9,3.8,6.1,73
NHS North East London Integrated Care Board,E54000029,Males,2022,Small intestine,All Small intestine,Age-standardised,3.4,2,5.4,19
NHS North West London Integrated Care Board,E54000027,Males,2022,Small intestine,All Small intestine,Age-standardised,4.5,3,6.4,31
NHS Northamptonshire Integrated Care Board,E54000059,Males,2022,Small intestine,All Small intestine,Age-standardised,4.6,2.6,7.4,16
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2022,Small intestine,All Small intestine,Age-standardised,3.4,2,5.3,18
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2022,Small intestine,All Small intestine,Age-standardised,,,,9
NHS Somerset Integrated Care Board,E54000038,Males,2022,Small intestine,All Small intestine,Age-standardised,3,1.4,5.5,10
NHS South East London Integrated Care Board,E54000030,Males,2022,Small intestine,All Small intestine,Age-standardised,4.4,2.8,6.5,26
NHS South West London Integrated Care Board,E54000031,Males,2022,Small intestine,All Small intestine,Age-standardised,4.7,3,7.1,25
NHS South Yorkshire Integrated Care Board,E54000061,Males,2022,Small intestine,All Small intestine,Age-standardised,3.8,2.5,5.6,25
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2022,Small intestine,All Small intestine,Age-standardised,3.9,2.5,5.8,23
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2022,Small intestine,All Small intestine,Age-standardised,2.9,1.7,4.7,16
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2022,Small intestine,All Small intestine,Age-standardised,3.8,2.3,5.9,19
NHS Sussex Integrated Care Board,E54000064,Males,2022,Small intestine,All Small intestine,Age-standardised,3.1,2.1,4.5,29
NHS West Yorkshire Integrated Care Board,E54000054,Males,2022,Small intestine,All Small intestine,Age-standardised,5.2,3.9,6.8,54
