SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000101,NHS Cheshire and Merseyside ICB - 99A,C15,Malignant neoplasm of oesophagus,Age-standardised,14.1,10.6,18.4,55
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C15,Malignant neoplasm of oesophagus,Age-standardised,13.5,10.9,16.5,96
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C15,Malignant neoplasm of oesophagus,Age-standardised,13.7,11.4,16.3,122
E38000261,NHS Derby and Derbyshire ICB - 15M,C15,Malignant neoplasm of oesophagus,Age-standardised,15,12.8,17.4,169
E38000230,NHS Devon ICB - 15N,C15,Malignant neoplasm of oesophagus,Age-standardised,14.4,12.5,16.5,209
E38000045,NHS Dorset ICB - 11J,C15,Malignant neoplasm of oesophagus,Age-standardised,12.4,10.3,14.9,122
E38000252,NHS Frimley ICB - D4U1Y,C15,Malignant neoplasm of oesophagus,Age-standardised,14.3,11.5,17.5,93
E38000062,NHS Gloucestershire ICB - 11M,C15,Malignant neoplasm of oesophagus,Age-standardised,14.4,11.7,17.4,102
E38000016,NHS Greater Manchester ICB - 00T,C15,Malignant neoplasm of oesophagus,Age-standardised,12.9,9,18.1,34
E38000024,NHS Greater Manchester ICB - 00V,C15,Malignant neoplasm of oesophagus,Age-standardised,21.7,15.5,29.6,40
E38000135,NHS Greater Manchester ICB - 00Y,C15,Malignant neoplasm of oesophagus,Age-standardised,19.1,13.6,26.1,39
E38000080,NHS Greater Manchester ICB - 01D,C15,Malignant neoplasm of oesophagus,Age-standardised,20.7,14.9,28.2,41
E38000143,NHS Greater Manchester ICB - 01G,C15,Malignant neoplasm of oesophagus,Age-standardised,15,10.1,21.6,29
E38000174,NHS Greater Manchester ICB - 01W,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,9.6,18.1,41
E38000263,NHS Greater Manchester ICB - 01Y,C15,Malignant neoplasm of oesophagus,Age-standardised,18.5,13.1,25.3,39
E38000187,NHS Greater Manchester ICB - 02A,C15,Malignant neoplasm of oesophagus,Age-standardised,10,6.3,15.2,22
E38000205,NHS Greater Manchester ICB - 02H,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,9.8,17.9,45
E38000217,NHS Greater Manchester ICB - 14L,C15,Malignant neoplasm of oesophagus,Age-standardised,17,12.5,22.6,49
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C15,Malignant neoplasm of oesophagus,Age-standardised,12,7.3,18.6,20
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C15,Malignant neoplasm of oesophagus,Age-standardised,11.4,9.8,13,202
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C15,Malignant neoplasm of oesophagus,Age-standardised,14.8,12.4,17.6,136
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C15,Malignant neoplasm of oesophagus,Age-standardised,10.8,8.2,14,57
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C15,Malignant neoplasm of oesophagus,Age-standardised,8.6,6.3,11.5,47
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,9.6,18.2,41
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C15,Malignant neoplasm of oesophagus,Age-standardised,12.4,9.2,16.3,52
E38000085,NHS Humber and North Yorkshire ICB - 03F,C15,Malignant neoplasm of oesophagus,Age-standardised,16.9,11.8,23.4,36
E38000119,NHS Humber and North Yorkshire ICB - 03H,C15,Malignant neoplasm of oesophagus,Age-standardised,13.9,8.9,20.6,24
E38000122,NHS Humber and North Yorkshire ICB - 03K,C15,Malignant neoplasm of oesophagus,Age-standardised,15.2,10.2,21.8,29
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C15,Malignant neoplasm of oesophagus,Age-standardised,16.7,12.8,21.3,64
E38000241,NHS Humber and North Yorkshire ICB - 42D,C15,Malignant neoplasm of oesophagus,Age-standardised,11.6,8.9,14.8,62
E38000237,NHS Kent and Medway ICB - 91Q,C15,Malignant neoplasm of oesophagus,Age-standardised,14.1,12.5,15.9,268
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C15,Malignant neoplasm of oesophagus,Age-standardised,18,11.1,27.5,21
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C15,Malignant neoplasm of oesophagus,Age-standardised,17.6,11.5,25.8,26
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C15,Malignant neoplasm of oesophagus,Age-standardised,23.1,16.7,31.3,42
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C15,Malignant neoplasm of oesophagus,Age-standardised,15.7,12,20.2,61
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,8.6,19.7,25
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C15,Malignant neoplasm of oesophagus,Age-standardised,13.7,10.2,18,52
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C15,Malignant neoplasm of oesophagus,Age-standardised,14.4,8.5,22.7,18
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C15,Malignant neoplasm of oesophagus,Age-standardised,15.1,10.8,20.5,41
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C15,Malignant neoplasm of oesophagus,Age-standardised,12.2,9,16.1,48
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C15,Malignant neoplasm of oesophagus,Age-standardised,11.7,7.8,16.8,29
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C15,Malignant neoplasm of oesophagus,Age-standardised,13.1,9.9,17.1,55
E38000238,NHS Lincolnshire ICB - 71E,C15,Malignant neoplasm of oesophagus,Age-standardised,11.2,9.1,13.5,103
E38000106,NHS Mid and South Essex ICB - 06Q,C15,Malignant neoplasm of oesophagus,Age-standardised,13.2,10,17.2,56
E38000185,NHS Mid and South Essex ICB - 07G,C15,Malignant neoplasm of oesophagus,Age-standardised,10.2,5.4,17.5,13
E38000007,NHS Mid and South Essex ICB - 99E,C15,Malignant neoplasm of oesophagus,Age-standardised,12.3,8.4,17.5,31
E38000030,NHS Mid and South Essex ICB - 99F,C15,Malignant neoplasm of oesophagus,Age-standardised,11.9,7.7,17.4,26
E38000168,NHS Mid and South Essex ICB - 99G,C15,Malignant neoplasm of oesophagus,Age-standardised,17.8,12.2,25.2,32
E38000239,NHS Norfolk and Waveney ICB - 26A,C15,Malignant neoplasm of oesophagus,Age-standardised,13.6,11.6,15.8,174
E38000240,NHS North Central London ICB - 93C,C15,Malignant neoplasm of oesophagus,Age-standardised,9.1,7.4,11.2,93
E38000130,NHS North East and North Cumbria ICB - 00L,C15,Malignant neoplasm of oesophagus,Age-standardised,14.7,11.2,19,59
E38000163,NHS North East and North Cumbria ICB - 00N,C15,Malignant neoplasm of oesophagus,Age-standardised,12.5,7.6,19.3,20
E38000176,NHS North East and North Cumbria ICB - 00P,C15,Malignant neoplasm of oesophagus,Age-standardised,16,11.7,21.3,46
E38000215,NHS North East and North Cumbria ICB - 01H,C15,Malignant neoplasm of oesophagus,Age-standardised,13.5,10,17.7,52
E38000212,NHS North East and North Cumbria ICB - 13T,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,10.2,17.2,60
E38000247,NHS North East and North Cumbria ICB - 16C,C15,Malignant neoplasm of oesophagus,Age-standardised,14.1,11.5,17.2,97
E38000234,NHS North East and North Cumbria ICB - 84H,C15,Malignant neoplasm of oesophagus,Age-standardised,13.8,10.9,17.2,78
E38000127,NHS North East and North Cumbria ICB - 99C,C15,Malignant neoplasm of oesophagus,Age-standardised,11.3,7.3,16.7,25
E38000255,NHS North East London ICB - A3A8R,C15,Malignant neoplasm of oesophagus,Age-standardised,11.4,9.6,13.5,136
E38000256,NHS North West London ICB - W2U3Z,C15,Malignant neoplasm of oesophagus,Age-standardised,9.5,8,11.1,149
E38000262,NHS Northamptonshire ICB - 78H,C15,Malignant neoplasm of oesophagus,Age-standardised,14.5,11.8,17.5,104
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C15,Malignant neoplasm of oesophagus,Age-standardised,12.3,7,20.1,16
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C15,Malignant neoplasm of oesophagus,Age-standardised,17.3,14.8,20.1,169
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C15,Malignant neoplasm of oesophagus,Age-standardised,17.1,13.9,20.9,98
E38000150,NHS Somerset ICB - 11X,C15,Malignant neoplasm of oesophagus,Age-standardised,13.7,11.1,16.8,97
E38000244,NHS South East London ICB - 72Q,C15,Malignant neoplasm of oesophagus,Age-standardised,11.5,9.6,13.5,141
E38000245,NHS South West London ICB - 36L,C15,Malignant neoplasm of oesophagus,Age-standardised,9.7,7.9,11.7,109
E38000006,NHS South Yorkshire ICB - 02P,C15,Malignant neoplasm of oesophagus,Age-standardised,10.2,6.7,15,26
E38000044,NHS South Yorkshire ICB - 02X,C15,Malignant neoplasm of oesophagus,Age-standardised,15,11,19.9,47
E38000141,NHS South Yorkshire ICB - 03L,C15,Malignant neoplasm of oesophagus,Age-standardised,13.6,9.6,18.8,37
E38000146,NHS South Yorkshire ICB - 03N,C15,Malignant neoplasm of oesophagus,Age-standardised,11.2,8.5,14.6,56
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,8.1,20.9,19
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C15,Malignant neoplasm of oesophagus,Age-standardised,15.7,9.7,23.9,21
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C15,Malignant neoplasm of oesophagus,Age-standardised,20.5,15.2,26.9,51
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C15,Malignant neoplasm of oesophagus,Age-standardised,11.5,7.7,16.4,30
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C15,Malignant neoplasm of oesophagus,Age-standardised,15.5,10.4,22.4,29
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C15,Malignant neoplasm of oesophagus,Age-standardised,20.6,15.3,27.2,50
E38000086,NHS Suffolk and North East Essex ICB - 06L,C15,Malignant neoplasm of oesophagus,Age-standardised,8.6,6.2,11.7,42
E38000117,NHS Suffolk and North East Essex ICB - 06T,C15,Malignant neoplasm of oesophagus,Age-standardised,13.8,10.4,18,54
E38000204,NHS Suffolk and North East Essex ICB - 07K,C15,Malignant neoplasm of oesophagus,Age-standardised,11.8,8.1,16.7,32
E38000264,NHS Surrey Heartlands ICB - 92A,C15,Malignant neoplasm of oesophagus,Age-standardised,12.3,10.3,14.7,129
E38000021,NHS Sussex ICB - 09D,C15,Malignant neoplasm of oesophagus,Age-standardised,10.1,6.2,15.4,21
E38000265,NHS Sussex ICB - 70F,C15,Malignant neoplasm of oesophagus,Age-standardised,13.4,11.3,15.9,135
E38000235,NHS Sussex ICB - 97R,C15,Malignant neoplasm of oesophagus,Age-standardised,12.1,9.7,14.9,88
E38000025,NHS West Yorkshire ICB - 02T,C15,Malignant neoplasm of oesophagus,Age-standardised,11.3,7.2,16.8,24
E38000190,NHS West Yorkshire ICB - 03R,C15,Malignant neoplasm of oesophagus,Age-standardised,15.2,11.4,19.8,53
E38000225,NHS West Yorkshire ICB - 15F,C15,Malignant neoplasm of oesophagus,Age-standardised,14.9,12.1,18.2,98
E38000232,NHS West Yorkshire ICB - 36J,C15,Malignant neoplasm of oesophagus,Age-standardised,12.5,9.7,16,64
E38000254,NHS West Yorkshire ICB - X2C4Y,C15,Malignant neoplasm of oesophagus,Age-standardised,12,8.9,15.9,50
Grand Total,,,,,,,,7216
