Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI,ICB23CD
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2021,Oesophagus,All Oesophagus,Age-standardised,63,8.2,6.3,10.6,E54000025
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2021,Oesophagus,All Oesophagus,Age-standardised,126,12.1,10,14.4,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Females,2021,Oesophagus,All Oesophagus,Age-standardised,86,8.4,6.7,10.4,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2021,Oesophagus,All Oesophagus,Age-standardised,105,10.7,8.7,12.9,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2021,Oesophagus,All Oesophagus,Age-standardised,34,6.1,4.2,8.5,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Females,2021,Oesophagus,All Oesophagus,Age-standardised,45,9.2,6.7,12.3,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2021,Oesophagus,All Oesophagus,Age-standardised,58,8.7,6.6,11.2,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2021,Oesophagus,All Oesophagus,Age-standardised,52,7.3,5.4,9.6,E54000022
NHS North Central London Integrated Care Board,E54000028,Females,2021,Oesophagus,All Oesophagus,Age-standardised,37,7,4.9,9.7,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2021,Oesophagus,All Oesophagus,Age-standardised,149,8.7,7.3,10.2,E54000050
NHS North East London Integrated Care Board,E54000029,Females,2021,Oesophagus,All Oesophagus,Age-standardised,53,8.7,6.5,11.4,E54000029
NHS North West London Integrated Care Board,E54000027,Females,2021,Oesophagus,All Oesophagus,Age-standardised,52,6.8,5.1,8.9,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Females,2021,Oesophagus,All Oesophagus,Age-standardised,37,9.6,6.8,13.3,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2021,Oesophagus,All Oesophagus,Age-standardised,56,9.4,7.1,12.2,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2021,Oesophagus,All Oesophagus,Age-standardised,22,7,4.3,10.6,E54000011
NHS Somerset Integrated Care Board,E54000038,Females,2021,Oesophagus,All Oesophagus,Age-standardised,30,7.8,5.2,11.1,E54000038
NHS South East London Integrated Care Board,E54000030,Females,2021,Oesophagus,All Oesophagus,Age-standardised,41,6.3,4.5,8.6,E54000030
NHS South West London Integrated Care Board,E54000031,Females,2021,Oesophagus,All Oesophagus,Age-standardised,46,7.5,5.5,10,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Females,2021,Oesophagus,All Oesophagus,Age-standardised,75,10.5,8.2,13.1,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2021,Oesophagus,All Oesophagus,Age-standardised,63,9.6,7.4,12.3,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2021,Oesophagus,All Oesophagus,Age-standardised,54,8.7,6.5,11.4,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2021,Oesophagus,All Oesophagus,Age-standardised,54,9.1,6.8,11.9,E54000063
NHS Sussex Integrated Care Board,E54000064,Females,2021,Oesophagus,All Oesophagus,Age-standardised,68,6.3,4.8,8,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Females,2021,Oesophagus,All Oesophagus,Age-standardised,107,9.3,7.6,11.2,E54000054
