SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,Rate,LCI,UCI,UCI
E38000016,NHS Greater Manchester ICB - 00T,C15,Malignant neoplasm of oesophagus,44,Age-standardised,17.5,12.7,23.4,23.4
E38000024,NHS Greater Manchester ICB - 00V,C15,Malignant neoplasm of oesophagus,43,Age-standardised,24.1,17.4,32.5,32.5
E38000135,NHS Greater Manchester ICB - 00Y,C15,Malignant neoplasm of oesophagus,39,Age-standardised,19.8,14,27,27
E38000080,NHS Greater Manchester ICB - 01D,C15,Malignant neoplasm of oesophagus,30,Age-standardised,15.7,10.6,22.5,22.5
E38000143,NHS Greater Manchester ICB - 01G,C15,Malignant neoplasm of oesophagus,33,Age-standardised,17.5,12,24.6,24.6
E38000174,NHS Greater Manchester ICB - 01W,C15,Malignant neoplasm of oesophagus,57,Age-standardised,19.1,14.5,24.8,24.8
E38000263,NHS Greater Manchester ICB - 01Y,C15,Malignant neoplasm of oesophagus,37,Age-standardised,17.8,12.5,24.6,24.6
E38000187,NHS Greater Manchester ICB - 02A,C15,Malignant neoplasm of oesophagus,31,Age-standardised,14.5,9.8,20.6,20.6
E38000205,NHS Greater Manchester ICB - 02H,C15,Malignant neoplasm of oesophagus,54,Age-standardised,17,12.7,22.2,22.2
E38000217,NHS Greater Manchester ICB - 14L,C15,Malignant neoplasm of oesophagus,52,Age-standardised,18,13.3,23.7,23.7
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C15,Malignant neoplasm of oesophagus,28,Age-standardised,17.3,11.5,25,25
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C15,Malignant neoplasm of oesophagus,237,Age-standardised,13.9,12.2,15.8,15.8
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C15,Malignant neoplasm of oesophagus,169,Age-standardised,19,16.2,22.1,22.1
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C15,Malignant neoplasm of oesophagus,53,Age-standardised,10.1,7.6,13.3,13.3
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C15,Malignant neoplasm of oesophagus,73,Age-standardised,13.7,10.8,17.3,17.3
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C15,Malignant neoplasm of oesophagus,40,Age-standardised,13.4,9.6,18.3,18.3
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C15,Malignant neoplasm of oesophagus,50,Age-standardised,12.4,9.2,16.4,16.4
E38000085,NHS Humber and North Yorkshire ICB - 03F,C15,Malignant neoplasm of oesophagus,36,Age-standardised,17.6,12.3,24.4,24.4
E38000119,NHS Humber and North Yorkshire ICB - 03H,C15,Malignant neoplasm of oesophagus,31,Age-standardised,18.7,12.7,26.5,26.5
E38000122,NHS Humber and North Yorkshire ICB - 03K,C15,Malignant neoplasm of oesophagus,32,Age-standardised,17.5,11.9,24.7,24.7
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C15,Malignant neoplasm of oesophagus,67,Age-standardised,18,13.9,22.9,22.9
E38000241,NHS Humber and North Yorkshire ICB - 42D,C15,Malignant neoplasm of oesophagus,65,Age-standardised,13,10,16.6,16.6
E38000237,NHS Kent and Medway ICB - 91Q,C15,Malignant neoplasm of oesophagus,273,Age-standardised,14.8,13.1,16.6,16.6
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C15,Malignant neoplasm of oesophagus,13,Age-standardised,11.2,6,19.2,19.2
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C15,Malignant neoplasm of oesophagus,26,Age-standardised,17.9,11.7,26.3,26.3
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C15,Malignant neoplasm of oesophagus,29,Age-standardised,16.7,11.2,24,24
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C15,Malignant neoplasm of oesophagus,66,Age-standardised,17.8,13.8,22.6,22.6
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C15,Malignant neoplasm of oesophagus,27,Age-standardised,14.7,9.7,21.4,21.4
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C15,Malignant neoplasm of oesophagus,72,Age-standardised,18.8,14.7,23.7,23.7
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C15,Malignant neoplasm of oesophagus,22,Age-standardised,17.3,10.8,26.2,26.2
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C15,Malignant neoplasm of oesophagus,51,Age-standardised,20.2,14.9,26.6,26.6
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C15,Malignant neoplasm of oesophagus,57,Age-standardised,15.4,11.7,20,20
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C15,Malignant neoplasm of oesophagus,32,Age-standardised,13.8,9.4,19.6,19.6
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C15,Malignant neoplasm of oesophagus,66,Age-standardised,16.5,12.7,20.9,20.9
E38000238,NHS Lincolnshire ICB - 71E,C15,Malignant neoplasm of oesophagus,140,Age-standardised,15.8,13.3,18.6,18.6
E38000106,NHS Mid and South Essex ICB - 06Q,C15,Malignant neoplasm of oesophagus,53,Age-standardised,12.9,9.7,16.9,16.9
E38000185,NHS Mid and South Essex ICB - 07G,C15,Malignant neoplasm of oesophagus,23,Age-standardised,18.2,11.5,27.4,27.4
E38000007,NHS Mid and South Essex ICB - 99E,C15,Malignant neoplasm of oesophagus,34,Age-standardised,13.8,9.5,19.3,19.3
E38000030,NHS Mid and South Essex ICB - 99F,C15,Malignant neoplasm of oesophagus,41,Age-standardised,19.4,13.9,26.3,26.3
E38000168,NHS Mid and South Essex ICB - 99G,C15,Malignant neoplasm of oesophagus,32,Age-standardised,17.8,12.1,25.1,25.1
E38000239,NHS Norfolk and Waveney ICB - 26A,C15,Malignant neoplasm of oesophagus,198,Age-standardised,16.1,13.9,18.5,18.5
E38000240,NHS North Central London ICB - 93C,C15,Malignant neoplasm of oesophagus,96,Age-standardised,9.4,7.6,11.5,11.5
E38000130,NHS North East and North Cumbria ICB - 00L,C15,Malignant neoplasm of oesophagus,55,Age-standardised,14.4,10.8,18.7,18.7
E38000163,NHS North East and North Cumbria ICB - 00N,C15,Malignant neoplasm of oesophagus,27,Age-standardised,17.1,11.3,24.9,24.9
E38000176,NHS North East and North Cumbria ICB - 00P,C15,Malignant neoplasm of oesophagus,32,Age-standardised,11.5,7.9,16.2,16.2
E38000215,NHS North East and North Cumbria ICB - 01H,C15,Malignant neoplasm of oesophagus,41,Age-standardised,10.9,7.8,14.8,14.8
E38000212,NHS North East and North Cumbria ICB - 13T,C15,Malignant neoplasm of oesophagus,68,Age-standardised,15.7,12.2,19.9,19.9
E38000247,NHS North East and North Cumbria ICB - 16C,C15,Malignant neoplasm of oesophagus,98,Age-standardised,14.7,11.9,17.9,17.9
E38000234,NHS North East and North Cumbria ICB - 84H,C15,Malignant neoplasm of oesophagus,95,Age-standardised,17.2,13.9,21,21
E38000127,NHS North East and North Cumbria ICB - 99C,C15,Malignant neoplasm of oesophagus,23,Age-standardised,10.8,6.9,16.3,16.3
E38000255,NHS North East London ICB - A3A8R,C15,Malignant neoplasm of oesophagus,142,Age-standardised,12.5,10.5,14.8,14.8
E38000256,NHS North West London ICB - W2U3Z,C15,Malignant neoplasm of oesophagus,161,Age-standardised,10.5,8.9,12.3,12.3
E38000262,NHS Northamptonshire ICB - 78H,C15,Malignant neoplasm of oesophagus,134,Age-standardised,19.3,16.2,22.9,22.9
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C15,Malignant neoplasm of oesophagus,25,Age-standardised,19.3,12.5,28.5,28.5
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C15,Malignant neoplasm of oesophagus,172,Age-standardised,18.1,15.5,21.1,21.1
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C15,Malignant neoplasm of oesophagus,79,Age-standardised,14.5,11.4,18,18
E38000150,NHS Somerset ICB - 11X,C15,Malignant neoplasm of oesophagus,84,Age-standardised,12.5,9.9,15.5,15.5
E38000244,NHS South East London ICB - 72Q,C15,Malignant neoplasm of oesophagus,146,Age-standardised,11.9,10,14,14
E38000245,NHS South West London ICB - 36L,C15,Malignant neoplasm of oesophagus,103,Age-standardised,9.5,7.8,11.6,11.6
E38000006,NHS South Yorkshire ICB - 02P,C15,Malignant neoplasm of oesophagus,32,Age-standardised,13,8.9,18.3,18.3
E38000044,NHS South Yorkshire ICB - 02X,C15,Malignant neoplasm of oesophagus,58,Age-standardised,19.1,14.5,24.7,24.7
E38000141,NHS South Yorkshire ICB - 03L,C15,Malignant neoplasm of oesophagus,39,Age-standardised,14.6,10.4,20,20
E38000146,NHS South Yorkshire ICB - 03N,C15,Malignant neoplasm of oesophagus,83,Age-standardised,17.1,13.6,21.3,21.3
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C15,Malignant neoplasm of oesophagus,23,Age-standardised,16.8,10.6,25.2,25.2
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C15,Malignant neoplasm of oesophagus,27,Age-standardised,20.8,13.7,30.3,30.3
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C15,Malignant neoplasm of oesophagus,21,Age-standardised,8.6,5.3,13.1,13.1
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C15,Malignant neoplasm of oesophagus,54,Age-standardised,21.3,16,27.9,27.9
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C15,Malignant neoplasm of oesophagus,20,Age-standardised,11.2,6.8,17.3,17.3
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C15,Malignant neoplasm of oesophagus,55,Age-standardised,23.1,17.4,30,30
E38000086,NHS Suffolk and North East Essex ICB - 06L,C15,Malignant neoplasm of oesophagus,60,Age-standardised,12.9,9.8,16.6,16.6
E38000117,NHS Suffolk and North East Essex ICB - 06T,C15,Malignant neoplasm of oesophagus,56,Age-standardised,14.6,11,19,19
E38000204,NHS Suffolk and North East Essex ICB - 07K,C15,Malignant neoplasm of oesophagus,40,Age-standardised,15.5,11.1,21.2,21.2
E38000264,NHS Surrey Heartlands ICB - 92A,C15,Malignant neoplasm of oesophagus,138,Age-standardised,13.4,11.3,15.9,15.9
E38000021,NHS Sussex ICB - 09D,C15,Malignant neoplasm of oesophagus,36,Age-standardised,16.9,11.8,23.5,23.5
E38000265,NHS Sussex ICB - 70F,C15,Malignant neoplasm of oesophagus,145,Age-standardised,14.9,12.5,17.5,17.5
E38000235,NHS Sussex ICB - 97R,C15,Malignant neoplasm of oesophagus,81,Age-standardised,11.5,9.1,14.3,14.3
E38000025,NHS West Yorkshire ICB - 02T,C15,Malignant neoplasm of oesophagus,42,Age-standardised,20.8,15,28.1,28.1
E38000190,NHS West Yorkshire ICB - 03R,C15,Malignant neoplasm of oesophagus,62,Age-standardised,18.4,14.1,23.6,23.6
E38000225,NHS West Yorkshire ICB - 15F,C15,Malignant neoplasm of oesophagus,98,Age-standardised,15.3,12.4,18.6,18.6
E38000232,NHS West Yorkshire ICB - 36J,C15,Malignant neoplasm of oesophagus,78,Age-standardised,15.8,12.5,19.8,19.8
E38000254,NHS West Yorkshire ICB - X2C4Y,C15,Malignant neoplasm of oesophagus,64,Age-standardised,16,12.3,20.5,20.5
Grand Total,,,,,,,,,
