SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C67,Malignant neoplasm of bladder,29,Age-standardised,10.7,22.9,15.9
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C67,Malignant neoplasm of bladder,48,Age-standardised,8.9,16,12.1
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C67,Malignant neoplasm of bladder,27,Age-standardised,13.7,30.3,20.8
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C67,Malignant neoplasm of bladder,31,Age-standardised,7.6,15.9,11.2
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C67,Malignant neoplasm of bladder,58,Age-standardised,11.4,19.5,15
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C67,Malignant neoplasm of bladder,41,Age-standardised,12.4,23.6,17.4
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C67,Malignant neoplasm of bladder,72,Age-standardised,13.7,22.1,17.6
E38000238,NHS Lincolnshire ICB - 71E,C67,Malignant neoplasm of bladder,153,Age-standardised,14.4,20,17
E38000106,NHS Mid and South Essex ICB - 06Q,C67,Malignant neoplasm of bladder,49,Age-standardised,8.7,15.5,11.7
E38000185,NHS Mid and South Essex ICB - 07G,C67,Malignant neoplasm of bladder,26,Age-standardised,13.3,30,20.4
E38000007,NHS Mid and South Essex ICB - 99E,C67,Malignant neoplasm of bladder,45,Age-standardised,12.8,23.5,17.5
E38000030,NHS Mid and South Essex ICB - 99F,C67,Malignant neoplasm of bladder,38,Age-standardised,12,23.3,16.9
E38000168,NHS Mid and South Essex ICB - 99G,C67,Malignant neoplasm of bladder,31,Age-standardised,11.2,23.5,16.6
E38000239,NHS Norfolk and Waveney ICB - 26A,C67,Malignant neoplasm of bladder,214,Age-standardised,14.7,19.4,16.9
E38000240,NHS North Central London ICB - 93C,C67,Malignant neoplasm of bladder,140,Age-standardised,11.6,16.3,13.8
E38000130,NHS North East and North Cumbria ICB - 00L,C67,Malignant neoplasm of bladder,68,Age-standardised,13,21.3,16.8
E38000163,NHS North East and North Cumbria ICB - 00N,C67,Malignant neoplasm of bladder,31,Age-standardised,13.2,27.5,19.4
E38000176,NHS North East and North Cumbria ICB - 00P,C67,Malignant neoplasm of bladder,62,Age-standardised,16.8,28,21.9
E38000215,NHS North East and North Cumbria ICB - 01H,C67,Malignant neoplasm of bladder,57,Age-standardised,11,18.9,14.6
E38000212,NHS North East and North Cumbria ICB - 13T,C67,Malignant neoplasm of bladder,89,Age-standardised,16.2,24.8,20.2
E38000247,NHS North East and North Cumbria ICB - 16C,C67,Malignant neoplasm of bladder,109,Age-standardised,13.2,19.4,16
E38000234,NHS North East and North Cumbria ICB - 84H,C67,Malignant neoplasm of bladder,94,Age-standardised,13.5,20.4,16.7
E38000127,NHS North East and North Cumbria ICB - 99C,C67,Malignant neoplasm of bladder,33,Age-standardised,10.3,21.1,15
E38000255,NHS North East London ICB - A3A8R,C67,Malignant neoplasm of bladder,149,Age-standardised,11,15.4,13.1
E38000256,NHS North West London ICB - W2U3Z,C67,Malignant neoplasm of bladder,205,Age-standardised,11.7,15.6,13.6
E38000262,NHS Northamptonshire ICB - 78H,C67,Malignant neoplasm of bladder,133,Age-standardised,15.8,22.4,18.9
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C67,Malignant neoplasm of bladder,26,Age-standardised,12.7,28.5,19.5
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C67,Malignant neoplasm of bladder,147,Age-standardised,12.8,17.8,15.2
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C67,Malignant neoplasm of bladder,91,Age-standardised,13.1,20,16.3
E38000150,NHS Somerset ICB - 11X,C67,Malignant neoplasm of bladder,126,Age-standardised,14.6,20.9,17.6
E38000244,NHS South East London ICB - 72Q,C67,Malignant neoplasm of bladder,199,Age-standardised,14.5,19.4,16.8
E38000245,NHS South West London ICB - 36L,C67,Malignant neoplasm of bladder,197,Age-standardised,15.7,20.9,18.2
E38000006,NHS South Yorkshire ICB - 02P,C67,Malignant neoplasm of bladder,44,Age-standardised,12.8,23.7,17.6
E38000044,NHS South Yorkshire ICB - 02X,C67,Malignant neoplasm of bladder,64,Age-standardised,15.9,26.3,20.6
E38000141,NHS South Yorkshire ICB - 03L,C67,Malignant neoplasm of bladder,50,Age-standardised,13.7,24.4,18.5
E38000146,NHS South Yorkshire ICB - 03N,C67,Malignant neoplasm of bladder,82,Age-standardised,13.1,20.4,16.4
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C67,Malignant neoplasm of bladder,18,Age-standardised,7.6,20.2,12.8
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C67,Malignant neoplasm of bladder,24,Age-standardised,11.6,27,18.1
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C67,Malignant neoplasm of bladder,38,Age-standardised,10.7,20.8,15.1
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C67,Malignant neoplasm of bladder,53,Age-standardised,15.2,26.7,20.4
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C67,Malignant neoplasm of bladder,16,Age-standardised,4.9,14.1,8.7
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C67,Malignant neoplasm of bladder,42,Age-standardised,12.7,23.8,17.6
E38000086,NHS Suffolk and North East Essex ICB - 06L,C67,Malignant neoplasm of bladder,72,Age-standardised,11.6,18.7,14.8
E38000117,NHS Suffolk and North East Essex ICB - 06T,C67,Malignant neoplasm of bladder,85,Age-standardised,17.1,26.5,21.4
E38000204,NHS Suffolk and North East Essex ICB - 07K,C67,Malignant neoplasm of bladder,49,Age-standardised,13.4,23.9,18.1
E38000264,NHS Surrey Heartlands ICB - 92A,C67,Malignant neoplasm of bladder,174,Age-standardised,14,19,16.3
E38000021,NHS Sussex ICB - 09D,C67,Malignant neoplasm of bladder,39,Age-standardised,13,25.2,18.4
E38000265,NHS Sussex ICB - 70F,C67,Malignant neoplasm of bladder,152,Age-standardised,12.4,17.2,14.7
E38000235,NHS Sussex ICB - 97R,C67,Malignant neoplasm of bladder,115,Age-standardised,12.8,18.6,15.5
E38000025,NHS West Yorkshire ICB - 02T,C67,Malignant neoplasm of bladder,35,Age-standardised,11.8,23.7,17
E38000190,NHS West Yorkshire ICB - 03R,C67,Malignant neoplasm of bladder,76,Age-standardised,17.5,27.8,22.2
E38000225,NHS West Yorkshire ICB - 15F,C67,Malignant neoplasm of bladder,133,Age-standardised,17.3,24.5,20.6
E38000232,NHS West Yorkshire ICB - 36J,C67,Malignant neoplasm of bladder,88,Age-standardised,14,21.6,17.5
E38000254,NHS West Yorkshire ICB - X2C4Y,C67,Malignant neoplasm of bladder,74,Age-standardised,14.4,23,18.3
Grand Total,,,,,,,,
