SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000187,NHS Greater Manchester ICB - 02A,C16,Malignant neoplasm of stomach,11,Age-standardised,2.5,9,5
E38000205,NHS Greater Manchester ICB - 02H,C16,Malignant neoplasm of stomach,34,Age-standardised,7.3,14.8,10.6
E38000217,NHS Greater Manchester ICB - 14L,C16,Malignant neoplasm of stomach,48,Age-standardised,11.3,20.6,15.5
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C16,Malignant neoplasm of stomach,21,Age-standardised,7.7,19.1,12.5
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C16,Malignant neoplasm of stomach,174,Age-standardised,8.5,11.5,9.9
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C16,Malignant neoplasm of stomach,82,Age-standardised,7.1,11.1,8.9
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C16,Malignant neoplasm of stomach,45,Age-standardised,6.1,11.2,8.4
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C16,Malignant neoplasm of stomach,53,Age-standardised,7.3,12.8,9.8
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C16,Malignant neoplasm of stomach,27,Age-standardised,5.9,13,8.9
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C16,Malignant neoplasm of stomach,56,Age-standardised,10.5,18.2,14
E38000085,NHS Humber and North Yorkshire ICB - 03F,C16,Malignant neoplasm of stomach,37,Age-standardised,12.6,24.6,17.9
E38000119,NHS Humber and North Yorkshire ICB - 03H,C16,Malignant neoplasm of stomach,17,Age-standardised,5.8,16,10
E38000122,NHS Humber and North Yorkshire ICB - 03K,C16,Malignant neoplasm of stomach,23,Age-standardised,7.8,18.6,12.4
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C16,Malignant neoplasm of stomach,30,Age-standardised,5.3,11.2,7.8
E38000241,NHS Humber and North Yorkshire ICB - 42D,C16,Malignant neoplasm of stomach,52,Age-standardised,7.3,12.9,9.8
E38000237,NHS Kent and Medway ICB - 91Q,C16,Malignant neoplasm of stomach,181,Age-standardised,8.3,11.2,9.7
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C16,Malignant neoplasm of stomach,19,Age-standardised,9.9,25.7,16.4
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C16,Malignant neoplasm of stomach,17,Age-standardised,6.6,18.1,11.3
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C16,Malignant neoplasm of stomach,22,Age-standardised,7.7,18.5,12.2
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C16,Malignant neoplasm of stomach,34,Age-standardised,6.2,12.5,9
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C16,Malignant neoplasm of stomach,19,Age-standardised,6,15.6,10
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C16,Malignant neoplasm of stomach,32,Age-standardised,5.6,11.5,8.2
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C16,Malignant neoplasm of stomach,15,Age-standardised,6.5,19.2,11.6
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C16,Malignant neoplasm of stomach,26,Age-standardised,6.2,14,9.5
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C16,Malignant neoplasm of stomach,30,Age-standardised,5.2,11.1,7.8
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C16,Malignant neoplasm of stomach,31,Age-standardised,8.2,17.4,12.2
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C16,Malignant neoplasm of stomach,44,Age-standardised,7.8,14.4,10.7
E38000238,NHS Lincolnshire ICB - 71E,C16,Malignant neoplasm of stomach,115,Age-standardised,10.7,15.6,13
E38000106,NHS Mid and South Essex ICB - 06Q,C16,Malignant neoplasm of stomach,36,Age-standardised,5.9,11.8,8.5
E38000185,NHS Mid and South Essex ICB - 07G,C16,Malignant neoplasm of stomach,17,Age-standardised,7.8,21.7,13.5
E38000007,NHS Mid and South Essex ICB - 99E,C16,Malignant neoplasm of stomach,20,Age-standardised,4.7,11.9,7.7
E38000030,NHS Mid and South Essex ICB - 99F,C16,Malignant neoplasm of stomach,18,Age-standardised,4.8,13,8.2
E38000168,NHS Mid and South Essex ICB - 99G,C16,Malignant neoplasm of stomach,26,Age-standardised,9,20.2,13.8
E38000239,NHS Norfolk and Waveney ICB - 26A,C16,Malignant neoplasm of stomach,124,Age-standardised,8,11.5,9.6
E38000240,NHS North Central London ICB - 93C,C16,Malignant neoplasm of stomach,118,Age-standardised,9,13.1,10.9
E38000130,NHS North East and North Cumbria ICB - 00L,C16,Malignant neoplasm of stomach,40,Age-standardised,7.3,14,10.2
E38000163,NHS North East and North Cumbria ICB - 00N,C16,Malignant neoplasm of stomach,20,Age-standardised,7.9,20,12.9
E38000176,NHS North East and North Cumbria ICB - 00P,C16,Malignant neoplasm of stomach,42,Age-standardised,10.6,20,14.8
E38000215,NHS North East and North Cumbria ICB - 01H,C16,Malignant neoplasm of stomach,36,Age-standardised,6.5,13,9.4
E38000212,NHS North East and North Cumbria ICB - 13T,C16,Malignant neoplasm of stomach,59,Age-standardised,10.1,17.1,13.2
E38000247,NHS North East and North Cumbria ICB - 16C,C16,Malignant neoplasm of stomach,83,Age-standardised,9.7,15.1,12.2
E38000234,NHS North East and North Cumbria ICB - 84H,C16,Malignant neoplasm of stomach,73,Age-standardised,10.2,16.3,13
E38000127,NHS North East and North Cumbria ICB - 99C,C16,Malignant neoplasm of stomach,23,Age-standardised,6.7,15.9,10.6
E38000255,NHS North East London ICB - A3A8R,C16,Malignant neoplasm of stomach,178,Age-standardised,12.3,16.7,14.4
E38000256,NHS North West London ICB - W2U3Z,C16,Malignant neoplasm of stomach,168,Age-standardised,9.1,12.5,10.7
E38000262,NHS Northamptonshire ICB - 78H,C16,Malignant neoplasm of stomach,75,Age-standardised,8.4,13.3,10.6
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C16,Malignant neoplasm of stomach,13,Age-standardised,5.3,17.1,10
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C16,Malignant neoplasm of stomach,132,Age-standardised,11.4,16.1,13.6
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C16,Malignant neoplasm of stomach,46,Age-standardised,5.9,10.8,8.1
E38000150,NHS Somerset ICB - 11X,C16,Malignant neoplasm of stomach,60,Age-standardised,6.6,11.3,8.7
E38000244,NHS South East London ICB - 72Q,C16,Malignant neoplasm of stomach,144,Age-standardised,9.4,13.3,11.2
E38000245,NHS South West London ICB - 36L,C16,Malignant neoplasm of stomach,117,Age-standardised,8.6,12.5,10.4
E38000006,NHS South Yorkshire ICB - 02P,C16,Malignant neoplasm of stomach,29,Age-standardised,7.8,16.7,11.7
E38000044,NHS South Yorkshire ICB - 02X,C16,Malignant neoplasm of stomach,50,Age-standardised,12,21.3,16.1
E38000141,NHS South Yorkshire ICB - 03L,C16,Malignant neoplasm of stomach,39,Age-standardised,10.2,19.7,14.4
E38000146,NHS South Yorkshire ICB - 03N,C16,Malignant neoplasm of stomach,77,Age-standardised,12.1,19.1,15.3
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C16,Malignant neoplasm of stomach,18,Age-standardised,7.6,20.3,12.8
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C16,Malignant neoplasm of stomach,11,Age-standardised,4.1,14.7,8.2
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C16,Malignant neoplasm of stomach,25,Age-standardised,6.5,14.8,10
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C16,Malignant neoplasm of stomach,24,Age-standardised,6,14.1,9.5
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C16,Malignant neoplasm of stomach,22,Age-standardised,7.5,18.3,12.1
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C16,Malignant neoplasm of stomach,25,Age-standardised,6.7,15.3,10.4
E38000086,NHS Suffolk and North East Essex ICB - 06L,C16,Malignant neoplasm of stomach,38,Age-standardised,5.6,11,8
E38000117,NHS Suffolk and North East Essex ICB - 06T,C16,Malignant neoplasm of stomach,41,Age-standardised,7.8,14.8,10.9
E38000204,NHS Suffolk and North East Essex ICB - 07K,C16,Malignant neoplasm of stomach,16,Age-standardised,3.5,10,6.2
E38000264,NHS Surrey Heartlands ICB - 92A,C16,Malignant neoplasm of stomach,67,Age-standardised,4.8,8,6.3
E38000021,NHS Sussex ICB - 09D,C16,Malignant neoplasm of stomach,23,Age-standardised,6.8,16.2,10.7
E38000265,NHS Sussex ICB - 70F,C16,Malignant neoplasm of stomach,85,Age-standardised,6.7,10.5,8.5
E38000235,NHS Sussex ICB - 97R,C16,Malignant neoplasm of stomach,41,Age-standardised,3.9,7.4,5.5
E38000025,NHS West Yorkshire ICB - 02T,C16,Malignant neoplasm of stomach,16,Age-standardised,4.4,12.4,7.6
E38000190,NHS West Yorkshire ICB - 03R,C16,Malignant neoplasm of stomach,42,Age-standardised,8.8,16.5,12.2
E38000225,NHS West Yorkshire ICB - 15F,C16,Malignant neoplasm of stomach,79,Age-standardised,9.4,14.9,11.9
E38000232,NHS West Yorkshire ICB - 36J,C16,Malignant neoplasm of stomach,59,Age-standardised,9,15.2,11.8
E38000254,NHS West Yorkshire ICB - X2C4Y,C16,Malignant neoplasm of stomach,44,Age-standardised,7.8,14.4,10.8
