SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000168,NHS Mid and South Essex ICB - 99G,C82-C86,Non-Hodgkin lymphoma,34,Age-standardised,12.9,26.1,18.7
E38000239,NHS Norfolk and Waveney ICB - 26A,C82-C86,Non-Hodgkin lymphoma,299,Age-standardised,21.7,27.4,24.5
E38000240,NHS North Central London ICB - 93C,C82-C86,Non-Hodgkin lymphoma,285,Age-standardised,22.4,28.5,25.3
E38000130,NHS North East and North Cumbria ICB - 00L,C82-C86,Non-Hodgkin lymphoma,94,Age-standardised,19.3,29.3,23.9
E38000163,NHS North East and North Cumbria ICB - 00N,C82-C86,Non-Hodgkin lymphoma,30,Age-standardised,12.9,27.3,19.1
E38000176,NHS North East and North Cumbria ICB - 00P,C82-C86,Non-Hodgkin lymphoma,44,Age-standardised,11.3,20.9,15.6
E38000215,NHS North East and North Cumbria ICB - 01H,C82-C86,Non-Hodgkin lymphoma,87,Age-standardised,18.7,28.9,23.4
E38000212,NHS North East and North Cumbria ICB - 13T,C82-C86,Non-Hodgkin lymphoma,108,Age-standardised,20,29.4,24.3
E38000247,NHS North East and North Cumbria ICB - 16C,C82-C86,Non-Hodgkin lymphoma,150,Age-standardised,18.8,26,22.2
E38000234,NHS North East and North Cumbria ICB - 84H,C82-C86,Non-Hodgkin lymphoma,111,Age-standardised,16.3,23.8,19.8
E38000127,NHS North East and North Cumbria ICB - 99C,C82-C86,Non-Hodgkin lymphoma,42,Age-standardised,14,26.2,19.4
E38000255,NHS North East London ICB - A3A8R,C82-C86,Non-Hodgkin lymphoma,280,Age-standardised,19,24.3,21.5
E38000256,NHS North West London ICB - W2U3Z,C82-C86,Non-Hodgkin lymphoma,355,Age-standardised,19.3,23.9,21.5
E38000262,NHS Northamptonshire ICB - 78H,C82-C86,Non-Hodgkin lymphoma,152,Age-standardised,18,25,21.3
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C82-C86,Non-Hodgkin lymphoma,24,Age-standardised,11.7,27.2,18.3
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C82-C86,Non-Hodgkin lymphoma,206,Age-standardised,18.3,24.2,21.1
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C82-C86,Non-Hodgkin lymphoma,122,Age-standardised,18.4,26.5,22.2
E38000150,NHS Somerset ICB - 11X,C82-C86,Non-Hodgkin lymphoma,132,Age-standardised,16.3,23.2,19.5
E38000244,NHS South East London ICB - 72Q,C82-C86,Non-Hodgkin lymphoma,307,Age-standardised,20.5,25.9,23.1
E38000245,NHS South West London ICB - 36L,C82-C86,Non-Hodgkin lymphoma,245,Age-standardised,18.2,23.6,20.8
E38000006,NHS South Yorkshire ICB - 02P,C82-C86,Non-Hodgkin lymphoma,39,Age-standardised,11,21.2,15.5
E38000044,NHS South Yorkshire ICB - 02X,C82-C86,Non-Hodgkin lymphoma,54,Age-standardised,13.2,22.9,17.6
E38000141,NHS South Yorkshire ICB - 03L,C82-C86,Non-Hodgkin lymphoma,74,Age-standardised,21.8,34.8,27.7
E38000146,NHS South Yorkshire ICB - 03N,C82-C86,Non-Hodgkin lymphoma,128,Age-standardised,21.2,30.3,25.5
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C82-C86,Non-Hodgkin lymphoma,29,Age-standardised,13.9,29.8,20.8
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C82-C86,Non-Hodgkin lymphoma,20,Age-standardised,9.3,23.6,15.3
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C82-C86,Non-Hodgkin lymphoma,64,Age-standardised,20.3,33.8,26.4
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C82-C86,Non-Hodgkin lymphoma,60,Age-standardised,18.1,30.7,23.8
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C82-C86,Non-Hodgkin lymphoma,41,Age-standardised,16.1,30.4,22.4
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C82-C86,Non-Hodgkin lymphoma,54,Age-standardised,16.6,28.9,22.1
E38000086,NHS Suffolk and North East Essex ICB - 06L,C82-C86,Non-Hodgkin lymphoma,104,Age-standardised,18.1,26.9,22.2
E38000117,NHS Suffolk and North East Essex ICB - 06T,C82-C86,Non-Hodgkin lymphoma,88,Age-standardised,18.5,28.5,23.1
E38000204,NHS Suffolk and North East Essex ICB - 07K,C82-C86,Non-Hodgkin lymphoma,51,Age-standardised,14.6,25.9,19.7
E38000264,NHS Surrey Heartlands ICB - 92A,C82-C86,Non-Hodgkin lymphoma,221,Age-standardised,18.5,24.2,21.2
E38000021,NHS Sussex ICB - 09D,C82-C86,Non-Hodgkin lymphoma,51,Age-standardised,16.9,30.2,22.9
E38000265,NHS Sussex ICB - 70F,C82-C86,Non-Hodgkin lymphoma,213,Age-standardised,19.1,25.2,22
E38000235,NHS Sussex ICB - 97R,C82-C86,Non-Hodgkin lymphoma,182,Age-standardised,22.9,30.9,26.7
E38000025,NHS West Yorkshire ICB - 02T,C82-C86,Non-Hodgkin lymphoma,35,Age-standardised,11.7,23.3,16.8
E38000190,NHS West Yorkshire ICB - 03R,C82-C86,Non-Hodgkin lymphoma,59,Age-standardised,13,22,17
E38000225,NHS West Yorkshire ICB - 15F,C82-C86,Non-Hodgkin lymphoma,151,Age-standardised,19.2,26.6,22.7
E38000232,NHS West Yorkshire ICB - 36J,C82-C86,Non-Hodgkin lymphoma,88,Age-standardised,13.6,20.9,17
E38000254,NHS West Yorkshire ICB - X2C4Y,C82-C86,Non-Hodgkin lymphoma,65,Age-standardised,12.1,19.9,15.6
