Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI,ICB23CD
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Males,2022,Oesophagus,All Oesophagus,Age-standardised,264,29,25.6,32.8,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Males,2022,Oesophagus,All Oesophagus,Age-standardised,238,27.1,23.8,30.8,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2022,Oesophagus,All Oesophagus,Age-standardised,243,27.9,24.5,31.7,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2022,Oesophagus,All Oesophagus,Age-standardised,121,24,19.9,28.7,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Males,2022,Oesophagus,All Oesophagus,Age-standardised,127,28.7,23.9,34.2,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2022,Oesophagus,All Oesophagus,Age-standardised,132,23.3,19.5,27.7,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2022,Oesophagus,All Oesophagus,Age-standardised,151,24.7,20.9,29,E54000022
NHS North Central London Integrated Care Board,E54000028,Males,2022,Oesophagus,All Oesophagus,Age-standardised,73,16.1,12.6,20.4,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2022,Oesophagus,All Oesophagus,Age-standardised,372,24.7,22.2,27.3,E54000050
NHS North East London Integrated Care Board,E54000029,Males,2022,Oesophagus,All Oesophagus,Age-standardised,89,16.3,13,20.3,E54000029
NHS North West London Integrated Care Board,E54000027,Males,2022,Oesophagus,All Oesophagus,Age-standardised,110,15.9,13,19.2,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Males,2022,Oesophagus,All Oesophagus,Age-standardised,95,27.3,22,33.4,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2022,Oesophagus,All Oesophagus,Age-standardised,154,29,24.6,33.9,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2022,Oesophagus,All Oesophagus,Age-standardised,68,24.4,18.9,31,E54000011
NHS Somerset Integrated Care Board,E54000038,Males,2022,Oesophagus,All Oesophagus,Age-standardised,81,23.9,18.9,29.7,E54000038
NHS South East London Integrated Care Board,E54000030,Males,2022,Oesophagus,All Oesophagus,Age-standardised,115,20.3,16.7,24.5,E54000030
NHS South West London Integrated Care Board,E54000031,Males,2022,Oesophagus,All Oesophagus,Age-standardised,97,19.1,15.4,23.3,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Males,2022,Oesophagus,All Oesophagus,Age-standardised,149,23.5,19.9,27.6,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2022,Oesophagus,All Oesophagus,Age-standardised,159,27.6,23.4,32.3,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2022,Oesophagus,All Oesophagus,Age-standardised,140,26.2,22,31,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2022,Oesophagus,All Oesophagus,Age-standardised,99,20.5,16.6,24.9,E54000063
NHS Sussex Integrated Care Board,E54000064,Males,2022,Oesophagus,All Oesophagus,Age-standardised,232,25.8,22.6,29.3,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Males,2022,Oesophagus,All Oesophagus,Age-standardised,279,27.5,24.4,31,E54000054
