Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,type_of_rate,Count,Rate,LCI,UCI
NHS Devon Integrated Care Board,2021,E54000037,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,39,6.3,4.5,8.7
NHS Dorset Integrated Care Board,2021,E54000041,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,15,3.7,2,6.2
NHS Frimley Integrated Care Board,2021,E54000034,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,20,5.6,3.4,8.6
NHS Gloucestershire Integrated Care Board,2021,E54000043,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,16,4.8,2.7,7.8
NHS Greater Manchester Integrated Care Board,2021,E54000057,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,69,5.4,4.2,6.8
NHS Hampshire and Isle of Wight Integrated Care Board,2021,E54000042,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,31,3.5,2.4,5
NHS Herefordshire and Worcestershire Integrated Care Board,2021,E54000019,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,25,6.4,4.1,9.4
NHS Hertfordshire and West Essex Integrated Care Board,2021,E54000025,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,33,4.8,3.3,6.8
NHS Humber and North Yorkshire Integrated Care Board,2021,E54000051,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,34,4,2.8,5.6
NHS Kent and Medway Integrated Care Board,2021,E54000032,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,46,5.2,3.8,6.9
NHS Lancashire and South Cumbria Integrated Care Board,2021,E54000048,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,39,4.5,3.2,6.1
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2021,E54000015,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,21,4.1,2.5,6.2
NHS Lincolnshire Integrated Care Board,2021,E54000013,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,15,4.1,2.3,6.8
NHS Mid and South Essex Integrated Care Board,2021,E54000026,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,20,3.5,2.1,5.4
NHS Norfolk and Waveney Integrated Care Board,2021,E54000022,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,16,2.9,1.6,4.7
NHS North Central London Integrated Care Board,2021,E54000028,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,47,8.1,5.9,10.9
NHS North East and North Cumbria Integrated Care Board,2021,E54000050,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,99,7,5.7,8.5
NHS North East London Integrated Care Board,2021,E54000029,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,50,6.6,4.8,8.9
NHS North West London Integrated Care Board,2021,E54000027,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,53,5.9,4.4,7.8
NHS Northamptonshire Integrated Care Board,2021,E54000059,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,12,3.2,1.6,5.6
NHS Nottingham and Nottinghamshire Integrated Care Board,2021,E54000060,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,23,4.2,2.7,6.4
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2021,E54000011,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,8,,,
NHS Somerset Integrated Care Board,2021,E54000038,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,15,5.1,2.8,8.5
NHS South East London Integrated Care Board,2021,E54000030,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,39,5.3,3.7,7.4
NHS South West London Integrated Care Board,2021,E54000031,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,42,6.5,4.6,8.9
NHS South Yorkshire Integrated Care Board,2021,E54000061,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,24,3.6,2.3,5.4
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021,E54000010,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,21,3.9,2.4,6
NHS Suffolk and North East Essex Integrated Care Board,2021,E54000023,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,12,2.4,1.2,4.2
NHS Surrey Heartlands Integrated Care Board,2021,E54000063,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,28,5.5,3.6,7.9
NHS Sussex Integrated Care Board,2021,E54000064,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,45,5.4,3.9,7.2
NHS West Yorkshire Integrated Care Board,2021,E54000054,Males,Endocrine glands excluding brain,All Endocrine glands excluding brain,Age-standardised,62,5.6,4.3,7.2
