SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000086,NHS Suffolk and North East Essex ICB - 06L,C67,Malignant neoplasm of bladder,Age-standardised,13.5,10.4,17.1,67
E38000117,NHS Suffolk and North East Essex ICB - 06T,C67,Malignant neoplasm of bladder,Age-standardised,15.6,12,20,63
E38000204,NHS Suffolk and North East Essex ICB - 07K,C67,Malignant neoplasm of bladder,Age-standardised,16.5,12,22.2,44
E38000264,NHS Surrey Heartlands ICB - 92A,C67,Malignant neoplasm of bladder,Age-standardised,17.6,15.2,20.3,191
E38000021,NHS Sussex ICB - 09D,C67,Malignant neoplasm of bladder,Age-standardised,15.8,10.9,22.2,34
E38000265,NHS Sussex ICB - 70F,C67,Malignant neoplasm of bladder,Age-standardised,16.2,13.9,18.9,170
E38000235,NHS Sussex ICB - 97R,C67,Malignant neoplasm of bladder,Age-standardised,14.8,12.2,17.9,113
E38000025,NHS West Yorkshire ICB - 02T,C67,Malignant neoplasm of bladder,Age-standardised,19.7,14.1,26.7,41
E38000190,NHS West Yorkshire ICB - 03R,C67,Malignant neoplasm of bladder,Age-standardised,20.1,15.7,25.4,70
E38000225,NHS West Yorkshire ICB - 15F,C67,Malignant neoplasm of bladder,Age-standardised,17.6,14.5,21.2,115
E38000232,NHS West Yorkshire ICB - 36J,C67,Malignant neoplasm of bladder,Age-standardised,12.2,9.4,15.7,62
E38000254,NHS West Yorkshire ICB - X2C4Y,C67,Malignant neoplasm of bladder,Age-standardised,17.7,13.8,22.2,73
