Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
NHS Kent and Medway Integrated Care Board,E54000032,Males,2021,Small intestine,All Small intestine,Age-standardised,4.2,3,5.9,36,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Males,2021,Small intestine,All Small intestine,Age-standardised,2.6,1.6,3.9,22,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Males,2021,Small intestine,All Small intestine,Age-standardised,3.6,2.1,5.8,18,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Males,2021,Small intestine,All Small intestine,Age-standardised,2.4,1.1,4.4,10,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Males,2021,Small intestine,All Small intestine,Age-standardised,3.4,2.1,5.4,19,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Males,2021,Small intestine,All Small intestine,Age-standardised,5,3.3,7.2,29,E54000022
NHS North Central London Integrated Care Board,E54000028,Males,2021,Small intestine,All Small intestine,Age-standardised,4.2,2.6,6.6,20,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Males,2021,Small intestine,All Small intestine,Age-standardised,3.9,2.9,5,58,E54000050
NHS North East London Integrated Care Board,E54000029,Males,2021,Small intestine,All Small intestine,Age-standardised,4.2,2.6,6.4,23,E54000029
NHS North West London Integrated Care Board,E54000027,Males,2021,Small intestine,All Small intestine,Age-standardised,3.8,2.5,5.5,27,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Males,2021,Small intestine,All Small intestine,Age-standardised,4.3,2.4,7.1,15,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Males,2021,Small intestine,All Small intestine,Age-standardised,5.1,3.4,7.5,27,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Males,2021,Small intestine,All Small intestine,Age-standardised,,,,9,E54000011
NHS Somerset Integrated Care Board,E54000038,Males,2021,Small intestine,All Small intestine,Age-standardised,,,,9,E54000038
NHS South East London Integrated Care Board,E54000030,Males,2021,Small intestine,All Small intestine,Age-standardised,2,1,3.5,13,E54000030
NHS South West London Integrated Care Board,E54000031,Males,2021,Small intestine,All Small intestine,Age-standardised,4.5,2.8,6.8,24,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Males,2021,Small intestine,All Small intestine,Age-standardised,3.8,2.4,5.9,22,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Males,2021,Small intestine,All Small intestine,Age-standardised,5.6,3.8,7.9,32,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Males,2021,Small intestine,All Small intestine,Age-standardised,4.4,2.8,6.6,23,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Males,2021,Small intestine,All Small intestine,Age-standardised,4.3,2.7,6.6,21,E54000063
NHS Sussex Integrated Care Board,E54000064,Males,2021,Small intestine,All Small intestine,Age-standardised,3.9,2.7,5.4,34,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Males,2021,Small intestine,All Small intestine,Age-standardised,5.7,4.3,7.5,56,E54000054
