Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
NHS Mid and South Essex Integrated Care Board,2021,E54000026,Females,Head and neck,All Head and neck,70,Age-standardised,10.7,8.3,13.5
NHS Norfolk and Waveney Integrated Care Board,2021,E54000022,Females,Head and neck,All Head and neck,78,Age-standardised,13.3,10.4,16.6
NHS North Central London Integrated Care Board,2021,E54000028,Females,Head and neck,All Head and neck,77,Age-standardised,13.6,10.7,17
NHS North East and North Cumbria Integrated Care Board,2021,E54000050,Females,Head and neck,All Head and neck,225,Age-standardised,13.7,11.9,15.6
NHS North East London Integrated Care Board,2021,E54000029,Females,Head and neck,All Head and neck,105,Age-standardised,15.9,12.9,19.3
NHS North West London Integrated Care Board,2021,E54000027,Females,Head and neck,All Head and neck,93,Age-standardised,11.4,9.2,14
NHS Northamptonshire Integrated Care Board,2021,E54000059,Females,Head and neck,All Head and neck,33,Age-standardised,8.6,5.9,12.1
NHS Nottingham and Nottinghamshire Integrated Care Board,2021,E54000060,Females,Head and neck,All Head and neck,58,Age-standardised,10,7.6,13
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2021,E54000011,Females,Head and neck,All Head and neck,44,Age-standardised,14.6,10.6,19.6
NHS Somerset Integrated Care Board,2021,E54000038,Females,Head and neck,All Head and neck,37,Age-standardised,10.6,7.4,14.7
NHS South East London Integrated Care Board,2021,E54000030,Females,Head and neck,All Head and neck,72,Age-standardised,10,7.8,12.7
NHS South West London Integrated Care Board,2021,E54000031,Females,Head and neck,All Head and neck,70,Age-standardised,11.2,8.7,14.1
NHS South Yorkshire Integrated Care Board,2021,E54000061,Females,Head and neck,All Head and neck,109,Age-standardised,15.7,12.8,18.9
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021,E54000010,Females,Head and neck,All Head and neck,88,Age-standardised,14.3,11.4,17.7
NHS Suffolk and North East Essex Integrated Care Board,2021,E54000023,Females,Head and neck,All Head and neck,58,Age-standardised,10.3,7.8,13.3
NHS Surrey Heartlands Integrated Care Board,2021,E54000063,Females,Head and neck,All Head and neck,69,Age-standardised,12.6,9.8,16
NHS Sussex Integrated Care Board,2021,E54000064,Females,Head and neck,All Head and neck,141,Age-standardised,13.8,11.6,16.3
NHS West Yorkshire Integrated Care Board,2021,E54000054,Females,Head and neck,All Head and neck,180,Age-standardised,15.7,13.4,18.1
