Geography_name,Year,icb23cd,Gender,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
NHS Gloucestershire Integrated Care Board,2022,E54000043,Males,Head and neck,All Head and neck,110,Age-standardised,32.3,26.5,38.9
NHS Greater Manchester Integrated Care Board,2022,E54000057,Males,Head and neck,All Head and neck,414,Age-standardised,34.7,31.4,38.3
NHS Hampshire and Isle of Wight Integrated Care Board,2022,E54000042,Males,Head and neck,All Head and neck,294,Age-standardised,32.1,28.5,36
NHS Herefordshire and Worcestershire Integrated Care Board,2022,E54000019,Males,Head and neck,All Head and neck,127,Age-standardised,28.6,23.8,34
NHS Hertfordshire and West Essex Integrated Care Board,2022,E54000025,Males,Head and neck,All Head and neck,200,Age-standardised,29.6,25.6,34
NHS Humber and North Yorkshire Integrated Care Board,2022,E54000051,Males,Head and neck,All Head and neck,266,Age-standardised,29.3,25.9,33.1
NHS Kent and Medway Integrated Care Board,2022,E54000032,Males,Head and neck,All Head and neck,250,Age-standardised,27.9,24.6,31.6
NHS Lancashire and South Cumbria Integrated Care Board,2022,E54000048,Males,Head and neck,All Head and neck,276,Age-standardised,31.3,27.7,35.2
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",2022,E54000015,Males,Head and neck,All Head and neck,178,Age-standardised,34.3,29.4,39.8
NHS Lincolnshire Integrated Care Board,2022,E54000013,Males,Head and neck,All Head and neck,119,Age-standardised,28.5,23.6,34.2
NHS Mid and South Essex Integrated Care Board,2022,E54000026,Males,Head and neck,All Head and neck,140,Age-standardised,24.4,20.5,28.8
NHS Norfolk and Waveney Integrated Care Board,2022,E54000022,Males,Head and neck,All Head and neck,127,Age-standardised,21.6,18,25.7
NHS North Central London Integrated Care Board,2022,E54000028,Males,Head and neck,All Head and neck,132,Age-standardised,26.9,22.4,32
NHS North East and North Cumbria Integrated Care Board,2022,E54000050,Males,Head and neck,All Head and neck,556,Age-standardised,36.8,33.8,40
NHS North East London Integrated Care Board,2022,E54000029,Males,Head and neck,All Head and neck,188,Age-standardised,31.9,27.3,37.1
NHS North West London Integrated Care Board,2022,E54000027,Males,Head and neck,All Head and neck,219,Age-standardised,29.1,25.3,33.4
NHS Northamptonshire Integrated Care Board,2022,E54000059,Males,Head and neck,All Head and neck,97,Age-standardised,26,21.1,31.7
NHS Nottingham and Nottinghamshire Integrated Care Board,2022,E54000060,Males,Head and neck,All Head and neck,152,Age-standardised,28.7,24.3,33.6
"NHS Shropshire, Telford and Wrekin Integrated Care Board",2022,E54000011,Males,Head and neck,All Head and neck,83,Age-standardised,30.2,24,37.5
NHS Somerset Integrated Care Board,2022,E54000038,Males,Head and neck,All Head and neck,93,Age-standardised,28.3,22.8,34.7
NHS South East London Integrated Care Board,2022,E54000030,Males,Head and neck,All Head and neck,166,Age-standardised,27.3,23.2,32
NHS South West London Integrated Care Board,2022,E54000031,Males,Head and neck,All Head and neck,176,Age-standardised,31.5,27,36.7
NHS South Yorkshire Integrated Care Board,2022,E54000061,Males,Head and neck,All Head and neck,221,Age-standardised,34.5,30.1,39.4
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022,E54000010,Males,Head and neck,All Head and neck,178,Age-standardised,30.4,26.1,35.2
NHS Suffolk and North East Essex Integrated Care Board,2022,E54000023,Males,Head and neck,All Head and neck,140,Age-standardised,26.7,22.4,31.5
NHS Surrey Heartlands Integrated Care Board,2022,E54000063,Males,Head and neck,All Head and neck,146,Age-standardised,29.5,24.9,34.8
NHS Sussex Integrated Care Board,2022,E54000064,Males,Head and neck,All Head and neck,264,Age-standardised,29.8,26.3,33.6
NHS West Yorkshire Integrated Care Board,2022,E54000054,Males,Head and neck,All Head and neck,349,Age-standardised,33.1,29.7,36.8
