Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI,ICB23CD
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2021,Pancreas,All Pancreas,124,Age-standardised,16.3,13.5,19.4,E54000025
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2021,Pancreas,All Pancreas,180,Age-standardised,17.4,14.9,20.1,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Females,2021,Pancreas,All Pancreas,182,Age-standardised,17.8,15.3,20.6,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2021,Pancreas,All Pancreas,141,Age-standardised,14.7,12.4,17.3,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2021,Pancreas,All Pancreas,89,Age-standardised,15.6,12.5,19.2,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Females,2021,Pancreas,All Pancreas,94,Age-standardised,19.7,15.9,24.1,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2021,Pancreas,All Pancreas,110,Age-standardised,16.8,13.8,20.2,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2021,Pancreas,All Pancreas,110,Age-standardised,16.1,13.2,19.5,E54000022
NHS North Central London Integrated Care Board,E54000028,Females,2021,Pancreas,All Pancreas,90,Age-standardised,16.1,12.9,19.8,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2021,Pancreas,All Pancreas,304,Age-standardised,17.7,15.8,19.9,E54000050
NHS North East London Integrated Care Board,E54000029,Females,2021,Pancreas,All Pancreas,96,Age-standardised,15.9,12.8,19.4,E54000029
NHS North West London Integrated Care Board,E54000027,Females,2021,Pancreas,All Pancreas,119,Age-standardised,14.7,12.2,17.6,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Females,2021,Pancreas,All Pancreas,74,Age-standardised,19.1,15,24,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2021,Pancreas,All Pancreas,87,Age-standardised,14.4,11.5,17.7,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2021,Pancreas,All Pancreas,36,Age-standardised,11.2,7.8,15.6,E54000011
NHS Somerset Integrated Care Board,E54000038,Females,2021,Pancreas,All Pancreas,54,Age-standardised,13.4,10.1,17.6,E54000038
NHS South East London Integrated Care Board,E54000030,Females,2021,Pancreas,All Pancreas,106,Age-standardised,15.8,12.9,19.2,E54000030
NHS South West London Integrated Care Board,E54000031,Females,2021,Pancreas,All Pancreas,108,Age-standardised,17.6,14.4,21.3,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Females,2021,Pancreas,All Pancreas,138,Age-standardised,19.1,16.1,22.6,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2021,Pancreas,All Pancreas,96,Age-standardised,14.7,11.9,17.9,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2021,Pancreas,All Pancreas,87,Age-standardised,13.9,11.1,17.1,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2021,Pancreas,All Pancreas,120,Age-standardised,20.6,17,24.7,E54000063
NHS Sussex Integrated Care Board,E54000064,Females,2021,Pancreas,All Pancreas,203,Age-standardised,18.4,15.9,21.1,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Females,2021,Pancreas,All Pancreas,211,Age-standardised,18.1,15.7,20.7,E54000054
