SICBL23CD,SICBL23NM,ICD10_code,Site_description,Type_of_rate,Rate,LCI,UCI,Sum of Count
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.5,17.2,26.5,89
E38000085,NHS Humber and North Yorkshire ICB - 03F,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,22,16.2,29.3,47
E38000119,NHS Humber and North Yorkshire ICB - 03H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.2,12.3,26,30
E38000122,NHS Humber and North Yorkshire ICB - 03K,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,25.8,19,34.3,48
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.6,13.6,22.3,68
E38000241,NHS Humber and North Yorkshire ICB - 42D,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.5,14.9,22.5,98
E38000237,NHS Kent and Medway ICB - 91Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.7,15.8,19.7,333
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18,11.2,27.3,22
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.2,12,26.5,27
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,11.1,6.7,17.1,20
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19.4,15.2,24.3,74
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,10.9,6.7,16.6,21
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19.8,15.5,24.9,74
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,20.6,13.4,30.3,26
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.2,11.6,22.1,42
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,12.5,9.1,16.7,46
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,9.9,6.3,14.8,24
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.3,10,17.3,55
E38000238,NHS Lincolnshire ICB - 71E,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.3,11.9,17.1,126
E38000106,NHS Mid and South Essex ICB - 06Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,21.4,17.2,26.3,90
E38000185,NHS Mid and South Essex ICB - 07G,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.7,10.5,25.1,23
E38000007,NHS Mid and South Essex ICB - 99E,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,20.1,15,26.5,51
E38000030,NHS Mid and South Essex ICB - 99F,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.6,10.6,22.3,31
E38000168,NHS Mid and South Essex ICB - 99G,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.2,9.3,20.9,26
E38000239,NHS Norfolk and Waveney ICB - 26A,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.1,12,16.3,175
E38000240,NHS North Central London ICB - 93C,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.6,11.5,16,151
E38000130,NHS North East and North Cumbria ICB - 00L,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.8,13.8,22.6,70
E38000163,NHS North East and North Cumbria ICB - 00N,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,23.5,16.5,32.4,37
E38000176,NHS North East and North Cumbria ICB - 00P,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,23,17.8,29.2,66
E38000215,NHS North East and North Cumbria ICB - 01H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19.3,15.1,24.3,73
E38000212,NHS North East and North Cumbria ICB - 13T,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.5,13.9,21.9,79
E38000247,NHS North East and North Cumbria ICB - 16C,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,16.7,13.8,20.1,114
E38000234,NHS North East and North Cumbria ICB - 84H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.6,14.3,21.4,99
E38000127,NHS North East and North Cumbria ICB - 99C,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.5,13.2,25.1,40
E38000255,NHS North East London ICB - A3A8R,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.6,12.6,16.9,193
E38000256,NHS North West London ICB - W2U3Z,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,11.9,10.3,13.7,199
E38000262,NHS Northamptonshire ICB - 78H,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,12.3,9.9,15.2,89
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.1,9.2,23.4,20
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.4,13,18,151
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.3,14.9,22.2,103
E38000150,NHS Somerset ICB - 11X,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,22.9,19.4,26.8,156
E38000244,NHS South East London ICB - 72Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.5,11.6,15.7,184
E38000245,NHS South West London ICB - 36L,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.6,12.5,17,172
E38000006,NHS South Yorkshire ICB - 02P,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19,14,25.2,48
E38000044,NHS South Yorkshire ICB - 02X,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.8,14.3,24.3,59
E38000141,NHS South Yorkshire ICB - 03L,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,20.8,15.7,27,56
E38000146,NHS South Yorkshire ICB - 03N,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14,10.9,17.7,71
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,10.7,6,17.6,15
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14,8.4,21.9,19
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19.4,14.3,25.8,48
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14,9.9,19.3,37
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,12,7.5,18.2,22
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,22.1,16.6,28.8,54
E38000086,NHS Suffolk and North East Essex ICB - 06L,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13,10,16.7,62
E38000117,NHS Suffolk and North East Essex ICB - 06T,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,13.6,10.1,17.9,51
E38000204,NHS Suffolk and North East Essex ICB - 07K,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,12,8.2,16.9,32
E38000264,NHS Surrey Heartlands ICB - 92A,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,18.7,16.2,21.6,195
E38000021,NHS Sussex ICB - 09D,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,12.9,8.6,18.6,29
E38000265,NHS Sussex ICB - 70F,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,17.4,14.9,20.2,173
E38000235,NHS Sussex ICB - 97R,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.6,11.9,17.8,101
E38000025,NHS West Yorkshire ICB - 02T,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.2,10.4,21.4,32
E38000190,NHS West Yorkshire ICB - 03R,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,20.5,16,25.8,72
E38000225,NHS West Yorkshire ICB - 15F,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,19.7,16.5,23.4,132
E38000232,NHS West Yorkshire ICB - 36J,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,14.4,11.3,18,76
E38000254,NHS West Yorkshire ICB - X2C4Y,C64,"Malignant neoplasm of kidney, except renal pelvis",Age-standardised,15.4,11.8,19.6,64
,,,,,,,,8997
