SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000233,NHS Cheshire and Merseyside ICB - 27D,C25,Malignant neoplasm of pancreas,143,Age-standardised,14.6,20.5,17.4
E38000101,NHS Cheshire and Merseyside ICB - 99A,C25,Malignant neoplasm of pancreas,61,Age-standardised,11.7,19.7,15.3
E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,C25,Malignant neoplasm of pancreas,131,Age-standardised,15.2,21.7,18.2
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,C25,Malignant neoplasm of pancreas,148,Age-standardised,14.1,19.6,16.7
E38000261,NHS Derby and Derbyshire ICB - 15M,C25,Malignant neoplasm of pancreas,184,Age-standardised,14.2,19,16.5
E38000230,NHS Devon ICB - 15N,C25,Malignant neoplasm of pancreas,233,Age-standardised,14.1,18.3,16.1
E38000045,NHS Dorset ICB - 11J,C25,Malignant neoplasm of pancreas,157,Age-standardised,13.5,18.7,15.9
E38000252,NHS Frimley ICB - D4U1Y,C25,Malignant neoplasm of pancreas,94,Age-standardised,11.7,17.7,14.4
E38000062,NHS Gloucestershire ICB - 11M,C25,Malignant neoplasm of pancreas,140,Age-standardised,16.6,23.3,19.8
E38000016,NHS Greater Manchester ICB - 00T,C25,Malignant neoplasm of pancreas,46,Age-standardised,12.9,23.5,17.6
E38000024,NHS Greater Manchester ICB - 00V,C25,Malignant neoplasm of pancreas,33,Age-standardised,12.5,25.6,18.2
E38000135,NHS Greater Manchester ICB - 00Y,C25,Malignant neoplasm of pancreas,41,Age-standardised,14.6,27.6,20.3
E38000080,NHS Greater Manchester ICB - 01D,C25,Malignant neoplasm of pancreas,28,Age-standardised,9.5,20.7,14.3
E38000143,NHS Greater Manchester ICB - 01G,C25,Malignant neoplasm of pancreas,34,Age-standardised,11.9,24.2,17.3
E38000174,NHS Greater Manchester ICB - 01W,C25,Malignant neoplasm of pancreas,52,Age-standardised,12.6,22.1,16.8
E38000263,NHS Greater Manchester ICB - 01Y,C25,Malignant neoplasm of pancreas,38,Age-standardised,12.7,24.6,17.9
E38000187,NHS Greater Manchester ICB - 02A,C25,Malignant neoplasm of pancreas,29,Age-standardised,8.9,19.3,13.4
E38000205,NHS Greater Manchester ICB - 02H,C25,Malignant neoplasm of pancreas,55,Age-standardised,12.7,21.9,16.8
E38000217,NHS Greater Manchester ICB - 14L,C25,Malignant neoplasm of pancreas,57,Age-standardised,14.9,25.8,19.8
E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,C25,Malignant neoplasm of pancreas,39,Age-standardised,16.8,32.4,23.7
E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,C25,Malignant neoplasm of pancreas,329,Age-standardised,16.6,20.7,18.5
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,C25,Malignant neoplasm of pancreas,153,Age-standardised,14.1,19.5,16.6
E38000049,NHS Hertfordshire and West Essex ICB - 06K,C25,Malignant neoplasm of pancreas,100,Age-standardised,15.6,23.3,19.1
E38000079,NHS Hertfordshire and West Essex ICB - 06N,C25,Malignant neoplasm of pancreas,101,Age-standardised,15.2,22.8,18.7
E38000197,NHS Hertfordshire and West Essex ICB - 07H,C25,Malignant neoplasm of pancreas,52,Age-standardised,12.6,22.1,16.8
E38000052,NHS Humber and North Yorkshire ICB - 02Y,C25,Malignant neoplasm of pancreas,69,Age-standardised,12.6,20.5,16.2
E38000085,NHS Humber and North Yorkshire ICB - 03F,C25,Malignant neoplasm of pancreas,37,Age-standardised,12.2,24,17.4
E38000119,NHS Humber and North Yorkshire ICB - 03H,C25,Malignant neoplasm of pancreas,28,Age-standardised,11,24,16.6
E38000122,NHS Humber and North Yorkshire ICB - 03K,C25,Malignant neoplasm of pancreas,27,Age-standardised,9.5,21,14.5
E38000188,NHS Humber and North Yorkshire ICB - 03Q,C25,Malignant neoplasm of pancreas,66,Age-standardised,13.5,22.2,17.5
E38000241,NHS Humber and North Yorkshire ICB - 42D,C25,Malignant neoplasm of pancreas,85,Age-standardised,12.8,19.8,16
E38000237,NHS Kent and Medway ICB - 91Q,C25,Malignant neoplasm of pancreas,355,Age-standardised,17,21,18.9
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,C25,Malignant neoplasm of pancreas,16,Age-standardised,8.1,23.1,14.2
E38000015,NHS Lancashire and South Cumbria ICB - 00R,C25,Malignant neoplasm of pancreas,37,Age-standardised,17.6,34.4,24.9
E38000034,NHS Lancashire and South Cumbria ICB - 00X,C25,Malignant neoplasm of pancreas,33,Age-standardised,12.5,25.6,18.2
E38000050,NHS Lancashire and South Cumbria ICB - 01A,C25,Malignant neoplasm of pancreas,57,Age-standardised,11.4,19.5,15.1
E38000227,NHS Lancashire and South Cumbria ICB - 01E,C25,Malignant neoplasm of pancreas,31,Age-standardised,11.4,23.7,16.7
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C25,Malignant neoplasm of pancreas,69,Age-standardised,13.7,22.3,17.6
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C25,Malignant neoplasm of pancreas,14,Age-standardised,6.1,19,11.3
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C25,Malignant neoplasm of pancreas,50,Age-standardised,14.3,25.6,19.3
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C25,Malignant neoplasm of pancreas,61,Age-standardised,12.2,20.5,16
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C25,Malignant neoplasm of pancreas,31,Age-standardised,8.8,18.5,13
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C25,Malignant neoplasm of pancreas,61,Age-standardised,11.4,19.1,14.9
E38000238,NHS Lincolnshire ICB - 71E,C25,Malignant neoplasm of pancreas,144,Age-standardised,13.5,18.9,16
E38000106,NHS Mid and South Essex ICB - 06Q,C25,Malignant neoplasm of pancreas,85,Age-standardised,16.2,25,20.2
E38000185,NHS Mid and South Essex ICB - 07G,C25,Malignant neoplasm of pancreas,28,Age-standardised,14.9,32.4,22.4
E38000007,NHS Mid and South Essex ICB - 99E,C25,Malignant neoplasm of pancreas,39,Age-standardised,11,21.2,15.5
E38000030,NHS Mid and South Essex ICB - 99F,C25,Malignant neoplasm of pancreas,31,Age-standardised,9.9,20.8,14.6
E38000168,NHS Mid and South Essex ICB - 99G,C25,Malignant neoplasm of pancreas,29,Age-standardised,10.9,23.3,16.2
E38000239,NHS Norfolk and Waveney ICB - 26A,C25,Malignant neoplasm of pancreas,253,Age-standardised,17.8,22.9,20.2
E38000240,NHS North Central London ICB - 93C,C25,Malignant neoplasm of pancreas,178,Age-standardised,14.9,20.1,17.3
E38000130,NHS North East and North Cumbria ICB - 00L,C25,Malignant neoplasm of pancreas,74,Age-standardised,14.5,23.1,18.4
E38000163,NHS North East and North Cumbria ICB - 00N,C25,Malignant neoplasm of pancreas,28,Age-standardised,11.8,25.6,17.7
E38000176,NHS North East and North Cumbria ICB - 00P,C25,Malignant neoplasm of pancreas,55,Age-standardised,14.6,25.3,19.4
E38000215,NHS North East and North Cumbria ICB - 01H,C25,Malignant neoplasm of pancreas,66,Age-standardised,13.3,21.9,17.2
E38000212,NHS North East and North Cumbria ICB - 13T,C25,Malignant neoplasm of pancreas,74,Age-standardised,13,20.7,16.5
E38000247,NHS North East and North Cumbria ICB - 16C,C25,Malignant neoplasm of pancreas,126,Age-standardised,15.5,22.1,18.6
E38000234,NHS North East and North Cumbria ICB - 84H,C25,Malignant neoplasm of pancreas,101,Age-standardised,14.6,21.8,17.9
E38000127,NHS North East and North Cumbria ICB - 99C,C25,Malignant neoplasm of pancreas,48,Age-standardised,16.5,29.7,22.4
E38000255,NHS North East London ICB - A3A8R,C25,Malignant neoplasm of pancreas,201,Age-standardised,14.2,19,16.5
E38000256,NHS North West London ICB - W2U3Z,C25,Malignant neoplasm of pancreas,269,Age-standardised,15.5,19.8,17.6
E38000262,NHS Northamptonshire ICB - 78H,C25,Malignant neoplasm of pancreas,127,Age-standardised,14.9,21.3,17.9
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C25,Malignant neoplasm of pancreas,25,Age-standardised,12.5,28.6,19.4
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C25,Malignant neoplasm of pancreas,173,Age-standardised,15.3,20.7,17.9
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C25,Malignant neoplasm of pancreas,98,Age-standardised,14.1,21.2,17.4
E38000150,NHS Somerset ICB - 11X,C25,Malignant neoplasm of pancreas,107,Age-standardised,12.5,18.5,15.3
E38000244,NHS South East London ICB - 72Q,C25,Malignant neoplasm of pancreas,237,Age-standardised,17.3,22.5,19.7
E38000245,NHS South West London ICB - 36L,C25,Malignant neoplasm of pancreas,170,Age-standardised,13,17.7,15.2
E38000006,NHS South Yorkshire ICB - 02P,C25,Malignant neoplasm of pancreas,40,Age-standardised,11.4,21.8,16
E38000044,NHS South Yorkshire ICB - 02X,C25,Malignant neoplasm of pancreas,70,Age-standardised,17.6,28.5,22.6
E38000141,NHS South Yorkshire ICB - 03L,C25,Malignant neoplasm of pancreas,54,Age-standardised,15,26.1,20
E38000146,NHS South Yorkshire ICB - 03N,C25,Malignant neoplasm of pancreas,94,Age-standardised,15.2,23,18.8
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C25,Malignant neoplasm of pancreas,23,Age-standardised,10.4,24.6,16.4
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C25,Malignant neoplasm of pancreas,19,Age-standardised,8.6,22.2,14.2
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C25,Malignant neoplasm of pancreas,36,Age-standardised,10,19.9,14.3
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C25,Malignant neoplasm of pancreas,47,Age-standardised,13.4,24.2,18.2
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C25,Malignant neoplasm of pancreas,34,Age-standardised,12.7,25.6,18.3
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C25,Malignant neoplasm of pancreas,38,Age-standardised,11.1,21.5,15.7
E38000086,NHS Suffolk and North East Essex ICB - 06L,C25,Malignant neoplasm of pancreas,65,Age-standardised,10.6,17.6,13.8
E38000117,NHS Suffolk and North East Essex ICB - 06T,C25,Malignant neoplasm of pancreas,50,Age-standardised,9.9,17.7,13.4
E38000204,NHS Suffolk and North East Essex ICB - 07K,C25,Malignant neoplasm of pancreas,38,Age-standardised,10.2,19.9,14.5
E38000264,NHS Surrey Heartlands ICB - 92A,C25,Malignant neoplasm of pancreas,201,Age-standardised,16.4,21.8,19
E38000021,NHS Sussex ICB - 09D,C25,Malignant neoplasm of pancreas,44,Age-standardised,15.1,28,20.8
E38000265,NHS Sussex ICB - 70F,C25,Malignant neoplasm of pancreas,229,Age-standardised,19.8,25.9,22.7
E38000235,NHS Sussex ICB - 97R,C25,Malignant neoplasm of pancreas,122,Age-standardised,13.9,20.1,16.8
E38000025,NHS West Yorkshire ICB - 02T,C25,Malignant neoplasm of pancreas,31,Age-standardised,10.1,21.1,14.8
E38000190,NHS West Yorkshire ICB - 03R,C25,Malignant neoplasm of pancreas,59,Age-standardised,13,22.1,17.1
E38000225,NHS West Yorkshire ICB - 15F,C25,Malignant neoplasm of pancreas,108,Age-standardised,13.7,20.1,16.7
E38000232,NHS West Yorkshire ICB - 36J,C25,Malignant neoplasm of pancreas,87,Age-standardised,13.8,21.2,17.2
E38000254,NHS West Yorkshire ICB - X2C4Y,C25,Malignant neoplasm of pancreas,76,Age-standardised,14.7,23.4,18.7
Grand Total,,,,,,,,
