Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,Count,type_of_rate,Rate,LCI,UCI
NHS North West London Integrated Care Board,E54000027,Females,2022,Pancreas,All Pancreas,130,Age-standardised,15.5,12.9,18.4
NHS Northamptonshire Integrated Care Board,E54000059,Females,2022,Pancreas,All Pancreas,66,Age-standardised,16.6,12.8,21.1
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2022,Pancreas,All Pancreas,99,Age-standardised,16.2,13.1,19.7
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2022,Pancreas,All Pancreas,47,Age-standardised,14.7,10.8,19.6
NHS Somerset Integrated Care Board,E54000038,Females,2022,Pancreas,All Pancreas,67,Age-standardised,16.8,13,21.3
NHS South East London Integrated Care Board,E54000030,Females,2022,Pancreas,All Pancreas,123,Age-standardised,18.4,15.3,22.1
NHS South West London Integrated Care Board,E54000031,Females,2022,Pancreas,All Pancreas,91,Age-standardised,14.8,11.9,18.1
NHS South Yorkshire Integrated Care Board,E54000061,Females,2022,Pancreas,All Pancreas,127,Age-standardised,17.5,14.6,20.9
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2022,Pancreas,All Pancreas,118,Age-standardised,17.6,14.6,21.1
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2022,Pancreas,All Pancreas,94,Age-standardised,14.2,11.5,17.5
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2022,Pancreas,All Pancreas,103,Age-standardised,17.4,14.2,21.2
NHS Sussex Integrated Care Board,E54000064,Females,2022,Pancreas,All Pancreas,186,Age-standardised,16.9,14.5,19.5
NHS West Yorkshire Integrated Care Board,E54000054,Females,2022,Pancreas,All Pancreas,188,Age-standardised,15.9,13.7,18.3
