SICBL23CD,SICBL23NM,ICD10_code,Site_description,Count,Type_of_rate,LCI,UCI,Rate
E38000228,NHS Lancashire and South Cumbria ICB - 01K,C91-C95,Leukaemia,67,Age-standardised,13.8,22.7,17.8
E38000200,NHS Lancashire and South Cumbria ICB - 02G,C91-C95,Leukaemia,16,Age-standardised,7.3,21,12.9
E38000226,NHS Lancashire and South Cumbria ICB - 02M,C91-C95,Leukaemia,45,Age-standardised,13.9,26,19.3
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",C91-C95,Leukaemia,62,Age-standardised,12.9,21.6,16.8
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",C91-C95,Leukaemia,43,Age-standardised,11.8,22.4,16.5
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",C91-C95,Leukaemia,73,Age-standardised,13.9,22.3,17.7
E38000238,NHS Lincolnshire ICB - 71E,C91-C95,Leukaemia,143,Age-standardised,13.9,19.5,16.5
E38000106,NHS Mid and South Essex ICB - 06Q,C91-C95,Leukaemia,71,Age-standardised,13.4,21.7,17.2
E38000185,NHS Mid and South Essex ICB - 07G,C91-C95,Leukaemia,26,Age-standardised,12.6,28.5,19.4
E38000007,NHS Mid and South Essex ICB - 99E,C91-C95,Leukaemia,44,Age-standardised,12.3,22.8,17
E38000030,NHS Mid and South Essex ICB - 99F,C91-C95,Leukaemia,30,Age-standardised,9.5,20.2,14.1
E38000168,NHS Mid and South Essex ICB - 99G,C91-C95,Leukaemia,16,Age-standardised,5.1,14.7,9
E38000239,NHS Norfolk and Waveney ICB - 26A,C91-C95,Leukaemia,190,Age-standardised,13.6,18.3,15.8
E38000240,NHS North Central London ICB - 93C,C91-C95,Leukaemia,145,Age-standardised,10.7,15.1,12.8
E38000130,NHS North East and North Cumbria ICB - 00L,C91-C95,Leukaemia,82,Age-standardised,17.2,27.1,21.8
E38000163,NHS North East and North Cumbria ICB - 00N,C91-C95,Leukaemia,25,Age-standardised,10.2,23.2,15.7
E38000176,NHS North East and North Cumbria ICB - 00P,C91-C95,Leukaemia,40,Age-standardised,10.1,19.3,14.2
E38000215,NHS North East and North Cumbria ICB - 01H,C91-C95,Leukaemia,63,Age-standardised,13,21.7,16.9
E38000212,NHS North East and North Cumbria ICB - 13T,C91-C95,Leukaemia,70,Age-standardised,12,19.4,15.4
E38000247,NHS North East and North Cumbria ICB - 16C,C91-C95,Leukaemia,120,Age-standardised,14.7,21.2,17.7
E38000234,NHS North East and North Cumbria ICB - 84H,C91-C95,Leukaemia,80,Age-standardised,11.4,17.9,14.3
E38000127,NHS North East and North Cumbria ICB - 99C,C91-C95,Leukaemia,54,Age-standardised,18.8,32.7,25
E38000255,NHS North East London ICB - A3A8R,C91-C95,Leukaemia,198,Age-standardised,12.6,17,14.7
E38000256,NHS North West London ICB - W2U3Z,C91-C95,Leukaemia,260,Age-standardised,13.7,17.6,15.5
E38000262,NHS Northamptonshire ICB - 78H,C91-C95,Leukaemia,130,Age-standardised,15,21.3,18
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,C91-C95,Leukaemia,17,Age-standardised,7.6,21,13.1
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,C91-C95,Leukaemia,143,Age-standardised,12.3,17.2,14.6
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",C91-C95,Leukaemia,90,Age-standardised,13.2,20.1,16.4
E38000150,NHS Somerset ICB - 11X,C91-C95,Leukaemia,103,Age-standardised,12.4,18.5,15.2
E38000244,NHS South East London ICB - 72Q,C91-C95,Leukaemia,189,Age-standardised,11.8,15.9,13.8
E38000245,NHS South West London ICB - 36L,C91-C95,Leukaemia,172,Age-standardised,12.5,17,14.6
E38000006,NHS South Yorkshire ICB - 02P,C91-C95,Leukaemia,49,Age-standardised,14.6,26,19.7
E38000044,NHS South Yorkshire ICB - 02X,C91-C95,Leukaemia,47,Age-standardised,11.1,20.1,15.1
E38000141,NHS South Yorkshire ICB - 03L,C91-C95,Leukaemia,39,Age-standardised,10.4,20,14.6
E38000146,NHS South Yorkshire ICB - 03N,C91-C95,Leukaemia,87,Age-standardised,13.5,20.8,16.8
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,C91-C95,Leukaemia,25,Age-standardised,11.5,26.2,17.8
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,C91-C95,Leukaemia,29,Age-standardised,14.7,31.5,21.9
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,C91-C95,Leukaemia,46,Age-standardised,13.8,25.2,18.9
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,C91-C95,Leukaemia,38,Age-standardised,10.8,21,15.3
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,C91-C95,Leukaemia,37,Age-standardised,14.8,29.1,21.1
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,C91-C95,Leukaemia,60,Age-standardised,18.9,31.9,24.7
E38000086,NHS Suffolk and North East Essex ICB - 06L,C91-C95,Leukaemia,82,Age-standardised,13.8,21.6,17.4
E38000117,NHS Suffolk and North East Essex ICB - 06T,C91-C95,Leukaemia,68,Age-standardised,14.2,23.3,18.3
E38000204,NHS Suffolk and North East Essex ICB - 07K,C91-C95,Leukaemia,37,Age-standardised,10.1,19.8,14.4
E38000264,NHS Surrey Heartlands ICB - 92A,C91-C95,Leukaemia,161,Age-standardised,12.7,17.5,15
E38000021,NHS Sussex ICB - 09D,C91-C95,Leukaemia,45,Age-standardised,14.3,26.6,19.8
E38000265,NHS Sussex ICB - 70F,C91-C95,Leukaemia,162,Age-standardised,14.2,19.5,16.7
E38000235,NHS Sussex ICB - 97R,C91-C95,Leukaemia,74,Age-standardised,8.6,13.9,11
E38000025,NHS West Yorkshire ICB - 02T,C91-C95,Leukaemia,47,Age-standardised,16.8,30.4,22.9
E38000190,NHS West Yorkshire ICB - 03R,C91-C95,Leukaemia,50,Age-standardised,10.7,19,14.4
E38000225,NHS West Yorkshire ICB - 15F,C91-C95,Leukaemia,104,Age-standardised,12.5,18.6,15.4
E38000232,NHS West Yorkshire ICB - 36J,C91-C95,Leukaemia,83,Age-standardised,12.4,19.4,15.6
E38000254,NHS West Yorkshire ICB - X2C4Y,C91-C95,Leukaemia,69,Age-standardised,12.9,21.1,16.6
Grand Total,,,,,,,,
