Geography_name,icb23cd,Gender,Year,Main_group,Detailed_group,type_of_rate,Rate,LCI,UCI,Count,ICB23CD
NHS Gloucestershire Integrated Care Board,E54000043,Females,2021,Small intestine,All Small intestine,Age-standardised,3.3,1.7,5.7,12,E54000043
NHS Greater Manchester Integrated Care Board,E54000057,Females,2021,Small intestine,All Small intestine,Age-standardised,2.7,1.9,3.8,35,E54000057
NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Females,2021,Small intestine,All Small intestine,Age-standardised,3.6,2.5,5,36,E54000042
NHS Herefordshire and Worcestershire Integrated Care Board,E54000019,Females,2021,Small intestine,All Small intestine,Age-standardised,3.2,1.8,5.2,16,E54000019
NHS Hertfordshire and West Essex Integrated Care Board,E54000025,Females,2021,Small intestine,All Small intestine,Age-standardised,3.7,2.5,5.4,28,E54000025
NHS Humber and North Yorkshire Integrated Care Board,E54000051,Females,2021,Small intestine,All Small intestine,Age-standardised,3.9,2.7,5.3,39,E54000051
NHS Kent and Medway Integrated Care Board,E54000032,Females,2021,Small intestine,All Small intestine,Age-standardised,3.3,2.2,4.6,33,E54000032
NHS Lancashire and South Cumbria Integrated Care Board,E54000048,Females,2021,Small intestine,All Small intestine,Age-standardised,3.3,2.2,4.6,32,E54000048
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",E54000015,Females,2021,Small intestine,All Small intestine,Age-standardised,,,,9,E54000015
NHS Lincolnshire Integrated Care Board,E54000013,Females,2021,Small intestine,All Small intestine,Age-standardised,3.5,2,5.8,16,E54000013
NHS Mid and South Essex Integrated Care Board,E54000026,Females,2021,Small intestine,All Small intestine,Age-standardised,2.8,1.7,4.5,18,E54000026
NHS Norfolk and Waveney Integrated Care Board,E54000022,Females,2021,Small intestine,All Small intestine,Age-standardised,4.1,2.6,6,26,E54000022
NHS North Central London Integrated Care Board,E54000028,Females,2021,Small intestine,All Small intestine,Age-standardised,1.7,0.8,3.2,10,E54000028
NHS North East and North Cumbria Integrated Care Board,E54000050,Females,2021,Small intestine,All Small intestine,Age-standardised,3,2.2,4,50,E54000050
NHS North East London Integrated Care Board,E54000029,Females,2021,Small intestine,All Small intestine,Age-standardised,2.2,1.2,3.7,15,E54000029
NHS North West London Integrated Care Board,E54000027,Females,2021,Small intestine,All Small intestine,Age-standardised,4,2.8,5.7,33,E54000027
NHS Northamptonshire Integrated Care Board,E54000059,Females,2021,Small intestine,All Small intestine,Age-standardised,,,,5,E54000059
NHS Nottingham and Nottinghamshire Integrated Care Board,E54000060,Females,2021,Small intestine,All Small intestine,Age-standardised,3.7,2.3,5.6,22,E54000060
"NHS Shropshire, Telford and Wrekin Integrated Care Board",E54000011,Females,2021,Small intestine,All Small intestine,Age-standardised,,,,8,E54000011
NHS Somerset Integrated Care Board,E54000038,Females,2021,Small intestine,All Small intestine,Age-standardised,2.9,1.5,5.2,12,E54000038
NHS South East London Integrated Care Board,E54000030,Females,2021,Small intestine,All Small intestine,Age-standardised,2.5,1.5,4,19,E54000030
NHS South West London Integrated Care Board,E54000031,Females,2021,Small intestine,All Small intestine,Age-standardised,1.9,1,3.3,12,E54000031
NHS South Yorkshire Integrated Care Board,E54000061,Females,2021,Small intestine,All Small intestine,Age-standardised,3.2,2,4.8,22,E54000061
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E54000010,Females,2021,Small intestine,All Small intestine,Age-standardised,4.4,2.9,6.4,28,E54000010
NHS Suffolk and North East Essex Integrated Care Board,E54000023,Females,2021,Small intestine,All Small intestine,Age-standardised,2.7,1.6,4.3,17,E54000023
NHS Surrey Heartlands Integrated Care Board,E54000063,Females,2021,Small intestine,All Small intestine,Age-standardised,2.5,1.4,4.2,14,E54000063
NHS Sussex Integrated Care Board,E54000064,Females,2021,Small intestine,All Small intestine,Age-standardised,3.4,2.4,4.8,35,E54000064
NHS West Yorkshire Integrated Care Board,E54000054,Females,2021,Small intestine,All Small intestine,Age-standardised,2.9,2,4.1,34,E54000054
